Easting(m) Northing(m) Grid-elevation(m) Mass(kg/m^2)
691761.1951 1472254.183 0 7.5
692160.2298 1473177.647 0 15
703986.7135 1466887.458 0 7.5
703741.1090 1468505.821 0 7.5
703963.5297 1471311.749 0 7.5
700383.6161 1472828.366 0 45
702331.1537 1477050.524 0 82.5
703540.6353 1472478.642 0 15
703169.6307 1473542.173 0 30
703507.3490 1474766.077 0 45
702558.4110 1475908.563 0 90
702329.8068 1477485.218 0 97.5
702055.6754 1478553.709 0 75
701447.5679 1478796.180 0 82.5
700951.9146 1479457.732 0 82.5
702691.3487 1464877.287 0 1.5
700534.2473 1465200.142 0 3
703894.7541 1465612.150 0 7.5
703990.7543 1467265.652 0 7.5
702854.5674 1467466.960 0 60
703737.2128 1469459.118 0 6
702349.4475 1472091.164 0 22.5
702689.9009 1472997.564 0 45
692364.7132 1470367.143 0 1.5
692553.9683 1470044.157 0 0.75
701403.2659 1474089.033 0 75
702936.0558 1474386.983 0 45
703626.6524 1470324.906 0 10.5
702482.6430 1470462.430 0 7.5
691536.9571 1472268.609 0 7.5
692320.9146 1470354.661 0 1.5
692531.9473 1470074.692 0 1.5
701979.8903 1474231.631 0 75
703634.9476 1470325.699 0 10.5
702518.8983 1470461.695 0 7.5
692556.9148 1474042.065 0 3
692625.6287 1471812.114 0 4.5
701230.3042 1473607.164 0 60
698637.1944 1479927.937 0 15
700125.6119 1479352.578 0 75
698388.5400 1479093.160 0 45
698366.8800 1479093.000 0 60
699749.1900 1478820.010 0 150
700608.1100 1479002.790 0 120
702379.3700 1474878.730 0 67.5
698193.1400 1473787.020 0 225
697897.3700 1474135.590 0 300
697934.4700 1474070.690 0 270
698421.1500 1473650.610 0 165
699066.5700 1473349.550 0 105
698414.0100 1473663.840 0 195
698174.9200 1473965.360 0 285
697994.9800 1474063.940 0 345
693307.8300 1472882.830 0 45
692193.9800 1472953.200 0 30
701236.7800 1475734.540 0 142.5
697797.7000 1474207.000 0 240
693237.5500 1473027.710 0 30
693883.8300 1473125.850 0 45
694377.3600 1467140.620 0 37.5
695371.1900 1473577.850 0 30
695655.1900 1473710.470 0 75
692341.8300 1473492.400 0 22.5
692614.8900 1473096.060 0 30
