obsnme,obsval,weight,obgnme,east,north,standard_deviation,lower_bound
mass_east:691536.9571_north:1472268.609,7.5,1.3333333333333333,obgnme,691536.9571,1472268.609,0.375,0.0
mass_east:691761.1951_north:1472254.183,7.5,1.3333333333333333,obgnme,691761.1951,1472254.183,0.375,0.0
mass_east:692160.2298_north:1473177.647,15.0,0.6666666666666666,obgnme,692160.2298,1473177.647,0.75,0.0
mass_east:692193.9800_north:1472953.200,30.0,0.3333333333333333,obgnme,692193.9800,1472953.200,1.5,0.0
mass_east:692320.9146_north:1470354.661,1.5,6.666666666666666,obgnme,692320.9146,1470354.661,0.1,0.0
mass_east:692341.8300_north:1473492.400,22.5,0.4444444444444444,obgnme,692341.8300,1473492.400,1.125,0.0
mass_east:692364.7132_north:1470367.143,1.5,6.666666666666666,obgnme,692364.7132,1470367.143,0.1,0.0
mass_east:692531.9473_north:1470074.692,1.5,6.666666666666666,obgnme,692531.9473,1470074.692,0.1,0.0
mass_east:692553.9683_north:1470044.157,0.75,10.0,obgnme,692553.9683,1470044.157,0.1,0.0
mass_east:692556.9148_north:1474042.065,3.0,3.333333333333333,obgnme,692556.9148,1474042.065,0.15000000000000002,0.0
mass_east:692614.8900_north:1473096.060,30.0,0.3333333333333333,obgnme,692614.8900,1473096.060,1.5,0.0
mass_east:692625.6287_north:1471812.114,4.5,2.2222222222222223,obgnme,692625.6287,1471812.114,0.225,0.0
mass_east:693237.5500_north:1473027.710,30.0,0.3333333333333333,obgnme,693237.5500,1473027.710,1.5,0.0
mass_east:693307.8300_north:1472882.830,45.0,0.2222222222222222,obgnme,693307.8300,1472882.830,2.25,0.0
mass_east:693883.8300_north:1473125.850,45.0,0.2222222222222222,obgnme,693883.8300,1473125.850,2.25,0.0
mass_east:694377.3600_north:1467140.620,37.5,0.26666666666666666,obgnme,694377.3600,1467140.620,1.875,0.0
mass_east:695371.1900_north:1473577.850,30.0,0.3333333333333333,obgnme,695371.1900,1473577.850,1.5,0.0
mass_east:695655.1900_north:1473710.470,75.0,0.13333333333333333,obgnme,695655.1900,1473710.470,3.75,0.0
mass_east:697797.7000_north:1474207.000,240.0,0.1,obgnme,697797.7000,1474207.000,12.0,0.0
mass_east:697897.3700_north:1474135.590,300.0,0.1,obgnme,697897.3700,1474135.590,15.0,0.0
mass_east:697934.4700_north:1474070.690,270.0,0.1,obgnme,697934.4700,1474070.690,13.5,0.0
mass_east:697994.9800_north:1474063.940,345.0,0.1,obgnme,697994.9800,1474063.940,17.25,0.0
mass_east:698174.9200_north:1473965.360,285.0,0.1,obgnme,698174.9200,1473965.360,14.25,0.0
mass_east:698193.1400_north:1473787.020,225.0,0.1,obgnme,698193.1400,1473787.020,11.25,0.0
mass_east:698366.8800_north:1479093.000,60.0,0.16666666666666666,obgnme,698366.8800,1479093.000,3.0,0.0
mass_east:698388.5400_north:1479093.160,45.0,0.2222222222222222,obgnme,698388.5400,1479093.160,2.25,0.0
mass_east:698414.0100_north:1473663.840,195.0,0.1,obgnme,698414.0100,1473663.840,9.75,0.0
mass_east:698421.1500_north:1473650.610,165.0,0.1,obgnme,698421.1500,1473650.610,8.25,0.0
mass_east:698637.1944_north:1479927.937,15.0,0.6666666666666666,obgnme,698637.1944,1479927.937,0.75,0.0
mass_east:699066.5700_north:1473349.550,105.0,0.1,obgnme,699066.5700,1473349.550,5.25,0.0
mass_east:699749.1900_north:1478820.010,150.0,0.1,obgnme,699749.1900,1478820.010,7.5,0.0
mass_east:700125.6119_north:1479352.578,75.0,0.13333333333333333,obgnme,700125.6119,1479352.578,3.75,0.0
mass_east:700383.6161_north:1472828.366,45.0,0.2222222222222222,obgnme,700383.6161,1472828.366,2.25,0.0
mass_east:700534.2473_north:1465200.142,3.0,3.333333333333333,obgnme,700534.2473,1465200.142,0.15000000000000002,0.0
mass_east:700608.1100_north:1479002.790,120.0,0.1,obgnme,700608.1100,1479002.790,6.0,0.0
mass_east:700951.9146_north:1479457.732,82.5,0.12121212121212122,obgnme,700951.9146,1479457.732,4.125,0.0
mass_east:701230.3042_north:1473607.164,60.0,0.16666666666666666,obgnme,701230.3042,1473607.164,3.0,0.0
mass_east:701236.7800_north:1475734.540,142.5,0.1,obgnme,701236.7800,1475734.540,7.125,0.0
mass_east:701403.2659_north:1474089.033,75.0,0.13333333333333333,obgnme,701403.2659,1474089.033,3.75,0.0
mass_east:701447.5679_north:1478796.180,82.5,0.12121212121212122,obgnme,701447.5679,1478796.180,4.125,0.0
mass_east:701979.8903_north:1474231.631,75.0,0.13333333333333333,obgnme,701979.8903,1474231.631,3.75,0.0
mass_east:702055.6754_north:1478553.709,75.0,0.13333333333333333,obgnme,702055.6754,1478553.709,3.75,0.0
mass_east:702329.8068_north:1477485.218,97.5,0.10256410256410256,obgnme,702329.8068,1477485.218,4.875,0.0
