parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,height
beta,log,factor,0.31622776601683794,0.1,1.0,beta,1.0,0.0,1,
diffusion_coefficient,log,factor,1732.0508075688776,300.0,10000.0,diffusion_coefficient,1.0,0.0,1,
eruption_mass,log,factor,22360679774.997894,5000000000.0,100000000000.0,eruption_mass,1.0,0.0,1,
fall_time_threshold,log,factor,848.5281374238566,600.0,1200.0,fall_time_threshold,1.0,0.0,1,
median_grainsize,none,relative,0.0,-2.0,2.0,median_grainsize,1.0,0.0,1,
plume_height,log,factor,13856.406460551027,12000.0,16000.0,plume_height,1.0,0.0,1,
std_grainsize,log,factor,2.29128784747792,1.5,3.5,std_grainsize,1.0,0.0,1,
wind0_height:10974.0_dir,none,relative,16.7,-83.3,116.7,wind0,1.0,0.0,1,10974.0
wind0_height:10974.0_vel,none,factor,63.2,31.6,94.80000000000001,wind0,1.0,0.0,1,10974.0
wind0_height:112.0_dir,none,relative,5.8,-94.2,105.8,wind0,1.0,0.0,1,112.0
wind0_height:112.0_vel,none,factor,251.3,125.65,376.95000000000005,wind0,1.0,0.0,1,112.0
wind0_height:12456.0_dir,none,relative,18.2,-81.8,118.2,wind0,1.0,0.0,1,12456.0
wind0_height:12456.0_vel,none,factor,62.7,31.35,94.05000000000001,wind0,1.0,0.0,1,12456.0
wind0_height:14262.0_dir,none,relative,20.2,-79.8,120.2,wind0,1.0,0.0,1,14262.0
wind0_height:14262.0_vel,none,factor,72.5,36.25,108.75,wind0,1.0,0.0,1,14262.0
wind0_height:1525.0_dir,none,relative,3.4,-96.6,103.4,wind0,1.0,0.0,1,1525.0
wind0_height:1525.0_vel,none,factor,302.4,151.2,453.59999999999997,wind0,1.0,0.0,1,1525.0
wind0_height:16622.0_dir,none,relative,17.4,-82.6,117.4,wind0,1.0,0.0,1,16622.0
wind0_height:16622.0_vel,none,factor,90.7,45.35,136.05,wind0,1.0,0.0,1,16622.0
wind0_height:18640.0_dir,none,relative,10.3,-89.7,110.3,wind0,1.0,0.0,1,18640.0
wind0_height:18640.0_vel,none,factor,88.0,44.0,132.0,wind0,1.0,0.0,1,18640.0
wind0_height:20616.0_dir,none,relative,8.9,-91.1,108.9,wind0,1.0,0.0,1,20616.0
wind0_height:20616.0_vel,none,factor,90.5,45.25,135.75,wind0,1.0,0.0,1,20616.0
wind0_height:23814.0_dir,none,relative,2.0,-98.0,102.0,wind0,1.0,0.0,1,23814.0
wind0_height:23814.0_vel,none,factor,248.3,124.15,372.45000000000005,wind0,1.0,0.0,1,23814.0
wind0_height:26442.0_dir,none,relative,10.9,-89.1,110.9,wind0,1.0,0.0,1,26442.0
wind0_height:26442.0_vel,none,factor,270.9,135.45,406.34999999999997,wind0,1.0,0.0,1,26442.0
wind0_height:3163.0_dir,none,relative,1.0,-99.0,101.0,wind0,1.0,0.0,1,3163.0
wind0_height:3163.0_vel,none,factor,344.6,172.3,516.9000000000001,wind0,1.0,0.0,1,3163.0
wind0_height:4432.0_dir,none,relative,1.2,-98.8,101.2,wind0,1.0,0.0,1,4432.0
wind0_height:4432.0_vel,none,factor,17.3,8.65,25.950000000000003,wind0,1.0,0.0,1,4432.0
wind0_height:5882.0_dir,none,relative,2.7,-97.3,102.7,wind0,1.0,0.0,1,5882.0
wind0_height:5882.0_vel,none,factor,81.3,40.65,121.94999999999999,wind0,1.0,0.0,1,5882.0
wind0_height:7604.0_dir,none,relative,7.1,-92.9,107.1,wind0,1.0,0.0,1,7604.0
wind0_height:7604.0_vel,none,factor,97.9,48.95,146.85000000000002,wind0,1.0,0.0,1,7604.0
wind0_height:796.0_dir,none,relative,6.4,-93.6,106.4,wind0,1.0,0.0,1,796.0
wind0_height:796.0_vel,none,factor,272.7,136.35,409.04999999999995,wind0,1.0,0.0,1,796.0
wind0_height:9708.0_dir,none,relative,13.1,-86.9,113.1,wind0,1.0,0.0,1,9708.0
wind0_height:9708.0_vel,none,factor,56.5,28.25,84.75,wind0,1.0,0.0,1,9708.0
