real_name,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.9800_north:1472953.200,mass_east:692320.9146_north:1470354.661,mass_east:692341.8300_north:1473492.400,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.8900_north:1473096.060,mass_east:692625.6287_north:1471812.114,mass_east:693237.5500_north:1473027.710,mass_east:693307.8300_north:1472882.830,mass_east:693883.8300_north:1473125.850,mass_east:694377.3600_north:1467140.620,mass_east:695371.1900_north:1473577.850,mass_east:695655.1900_north:1473710.470,mass_east:697797.7000_north:1474207.000,mass_east:697897.3700_north:1474135.590,mass_east:697934.4700_north:1474070.690,mass_east:697994.9800_north:1474063.940,mass_east:698174.9200_north:1473965.360,mass_east:698193.1400_north:1473787.020,mass_east:698366.8800_north:1479093.000,mass_east:698388.5400_north:1479093.160,mass_east:698414.0100_north:1473663.840,mass_east:698421.1500_north:1473650.610,mass_east:698637.1944_north:1479927.937,mass_east:699066.5700_north:1473349.550,mass_east:699749.1900_north:1478820.010,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.1100_north:1479002.790,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.7800_north:1475734.540,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.180,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.3700_north:1474878.730,mass_east:702482.6430_north:1470462.430,mass_east:702518.8983_north:1470461.695,mass_east:702558.4110_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.960,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.3490_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.1090_north:1468505.821,mass_east:703894.7541_north:1465612.150,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652
0,1.99702,2.0184,4.57124,3.79898,0.501724,6.11366,0.505675,0.419679,0.411775,9.84669,4.52321,1.48207,4.48264,3.94024,4.99465,0.101992,6.97779,7.66324,12.9826,12.389,11.7988,11.7949,11.0275,9.52052,64.7782,65.0039,8.70317,8.61053,66.0265,6.89363,73.2138,75.6072,4.57736,0.0577768,73.6611,74.0289,7.80077,28.3151,10.679,67.4121,10.8117,59.8466,45.3216,39.7908,2.28673,14.9022,0.703105,0.701778,24.3306,4.20855,0.0552141,0.134945,10.0018,5.61446,10.9878,2.58623,0.609874,0.609917,0.362661,0.21953,0.0707167,1.12146,0.109845,0.127207
1,0.000140574,0.00014332,0.000181179,0.000172363,0.0001193,0.00020933,0.000119784,0.000117593,0.000117403,0.000299425,0.000196882,0.000146204,0.000234904,0.000224136,0.00035554,0.000100986,0.00420497,0.00883759,0.0655932,0.0554691,0.0478998,0.0472085,0.0385071,0.0263397,9.80824,9.86531,0.0217059,0.0211956,11.4254,0.016884,12.1116,15.7943,0.0185294,0.000115802,15.2009,19.2591,0.0864443,1.14196,0.17342,15.7588,0.267927,15.0269,7.60342,5.36381,0.0210913,0.655017,0.00235872,0.00239585,2.00571,0.0809907,0.000125059,0.000193497,0.465082,0.191147,0.837317,0.057965,0.00311672,0.0031294,0.00103393,0.000389805,0.000145833,0.01388,0.000185708,0.000207653
4,4.44788,4.80121,7.0602,6.79618,3.12701,8.10969,3.18132,3.00958,2.9954,9.67414,8.33758,5.743,10.5798,10.466,14.0713,1.51196,25.6609,28.1239,37.2142,37.3083,37.3664,37.3176,37.0972,36.8824,14.0482,14.1484,35.9892,35.9224,13.7223,31.3664,22.52,25.8651,18.7555,1.30414,29.6509,34.3622,16.1802,18.6119,15.9806,35.9132,13.1344,38.3083,28.6206,24.5274,7.18954,12.7764,3.7805,3.74932,16.1518,8.15838,0.679697,1.26688,9.8857,7.71466,9.34341,5.38135,2.81654,2.81238,2.09025,1.55327,0.70329,3.50192,0.956529,1.05751
5,4.85203,5.35592,6.84135,6.91982,4.85447,7.5272,4.94205,4.85892,4.85483,8.21747,8.70908,7.51498,12.3228,12.6485,18.0881,2.92713,41.0141,46.2524,55.1158,54.2643,54.0823,53.2034,50.6353,50.4905,9.81143,9.91548,46.407,46.246,8.94765,34.0498,20.3953,22.3165,17.4363,1.49596,29.1203,31.6468,16.8748,29.5008,19.051,40.6267,19.1695,48.995,48.7333,45.5757,7.96981,24.3993,4.54289,4.50159,35.3626,10.8353,1.10577,1.95534,19.8831,13.2686,23.4184,7.70659,3.37545,3.37049,2.6152,2.09098,1.10566,4.40269,1.4155,1.52957
6,0.154104,0.16584,0.264153,0.247972,0.106514,0.320637,0.10815,0.102734,0.102287,0.434509,0.31581,0.19379,0.41793,0.405913,0.623688,0.0597349,2.03257,2.64533,10.8799,10.717,10.3679,10.5115,10.3101,9.05955,23.095,23.2846,8.68392,8.60655,20.4287,7.54963,37.9886,37.5083,5.24936,0.0629353,44.458,43.967,9.87597,37.0712,14.0641,51.9401,14.6652,55.6476,53.5614,50.017,2.72669,21.1443,0.793145,0.793381,34.6559,5.47681,0.0643311,0.155244,14.487,7.88147,16.9827,3.47814,0.731556,0.731939,0.426568,0.255566,0.0837053,1.44181,0.128981,0.149009
7,0.00478422,0.00615939,0.00938547,0.0102962,0.0128478,0.0116148,0.0137155,0.0167515,0.0172133,0.0140517,0.0202394,0.0237588,0.0656193,0.0773668,0.220871,0.0749629,2.705,4.02455,24.4001,26.5021,27.8451,28.6855,32.4619,35.484,0.57079,0.58321,40.8169,41.1511,0.376117,57.8337,2.50444,2.24154,95.1669,6.17829,4.22309,3.79069,98.5977,46.1181,91.1373,8.55126,102.992,14.2221,31.4702,39.807,136.165,96.9722,104.633,104.687,72.7291,141.864,10.2626,32.5334,125.483,146.74,130.914,153.22,100.757,100.773,74.4125,50.7015,15.3871,130.966,25.5957,29.9375
8,0.00463619,0.00508137,0.00653984,0.00654956,0.00542107,0.00736839,0.00552878,0.00573721,0.00576995,0.00866264,0.00838328,0.00738217,0.012698,0.0131392,0.0223873,0.0079157,0.156066,0.269021,10.9966,11.6953,11.7625,12.404,14.0751,12.9843,1.54946,1.58279,15.2434,15.2349,1.28658,24.1905,6.28249,6.49146,38.8325,0.0729475,11.1414,11.405,77.4286,78.4752,93.1618,21.3906,102.407,33.2291,56.1884,65.8593,34.9482,111.232,9.29018,9.3798,98.9502,63.0102,0.148019,0.833534,104.203,79.4375,106.179,46.2981,10.6393,10.6601,5.43786,2.52752,0.343765,22.6221,0.809662,1.0596
9,8.34398,8.91719,14.3524,13.4998,3.9878,16.733,4.04213,3.55818,3.51301,20.1506,16.3321,9.25722,19.113,18.368,22.997,1.15536,32.6139,34.6502,44.3809,44.187,43.8351,43.9843,43.8705,42.4357,16.6431,16.6981,42.1871,42.09,12.1056,41.6805,26.915,25.3295,39.2265,1.13865,34.4008,33.2583,52.4639,71.7047,59.8661,48.7274,64.1865,61.6923,79.7513,83.253,30.7052,75.2621,13.9183,13.9195,86.5451,44.846,1.20819,3.31368,70.0062,54.8701,78.0757,36.3268,13.0229,13.0271,8.48797,5.3999,1.66214,21.0695,2.70273,3.15249
10,0.433895,0.413593,0.0959439,0.131543,4.12658,0.0552493,4.03546,5.46696,5.63334,0.0211804,0.0882503,0.570917,0.0710225,0.0855999,0.0415921,23.4445,0.00683021,0.00511286,1.27274,1.36722,1.34245,1.45814,1.70262,1.40468,7.02771e-05,7.125e-05,1.74029,1.73377,3.96393e-05,3.43686,0.000235223,0.000127356,7.43156,7.79251,0.000252887,0.000153469,4.40841,0.302519,2.84857,0.000485115,1.79151,0.000904494,0.00846759,0.0202464,5.53204,0.702063,13.2594,12.9795,0.151242,2.80255,7.27408,17.1645,0.899403,1.53926,0.474109,2.1831,6.60558,6.5624,9.82815,13.8412,10.3909,2.89728,14.0123,14.4099
11,0.0101702,0.010632,0.0160833,0.0149381,0.00711482,0.0193697,0.00718352,0.0068755,0.00684886,0.0271139,0.0180097,0.0112463,0.0217919,0.020855,0.0300979,0.00466949,0.101552,0.143148,0.955488,0.909681,0.850466,0.865339,0.823279,0.664078,45.4751,45.7964,0.62322,0.614908,46.2323,0.534169,60.7098,65.6888,0.393045,0.00537856,66.1603,69.68,1.05523,9.7041,1.80795,62.3071,2.09356,54.3155,31.7759,24.1539,0.211219,3.91047,0.0498259,0.0499623,9.69211,0.549566,0.00581801,0.0115804,2.28375,0.947593,3.0406,0.312513,0.049238,0.0492897,0.0291768,0.018406,0.00739956,0.105971,0.0104931,0.0118155
