real_name,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.9800_north:1472953.200,mass_east:692320.9146_north:1470354.661,mass_east:692341.8300_north:1473492.400,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.8900_north:1473096.060,mass_east:692625.6287_north:1471812.114,mass_east:693237.5500_north:1473027.710,mass_east:693307.8300_north:1472882.830,mass_east:693883.8300_north:1473125.850,mass_east:694377.3600_north:1467140.620,mass_east:695371.1900_north:1473577.850,mass_east:695655.1900_north:1473710.470,mass_east:697797.7000_north:1474207.000,mass_east:697897.3700_north:1474135.590,mass_east:697934.4700_north:1474070.690,mass_east:697994.9800_north:1474063.940,mass_east:698174.9200_north:1473965.360,mass_east:698193.1400_north:1473787.020,mass_east:698366.8800_north:1479093.000,mass_east:698388.5400_north:1479093.160,mass_east:698414.0100_north:1473663.840,mass_east:698421.1500_north:1473650.610,mass_east:698637.1944_north:1479927.937,mass_east:699066.5700_north:1473349.550,mass_east:699749.1900_north:1478820.010,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.1100_north:1479002.790,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.7800_north:1475734.540,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.180,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.3700_north:1474878.730,mass_east:702482.6430_north:1470462.430,mass_east:702518.8983_north:1470461.695,mass_east:702558.4110_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.960,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.3490_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.1090_north:1468505.821,mass_east:703894.7541_north:1465612.150,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652
0,7.28332,7.37269,14.4478,28.628,1.36694,22.9422,1.57877,1.58149,0.733516,2.92661,29.598,4.34989,28.39,44.2128,43.01,40.0764,31.2657,76.9104,231.992,304.913,259.627,333.276,274.829,223.686,58.3641,49.1033,181.481,156.45,16.2119,107.633,147.522,73.1745,48.6034,2.6968,120.764,90.6154,59.0932,148.909,79.0849,78.82,69.8902,71.3758,93.4036,83.1885,22.1966,69.9225,7.16612,8.4426,87.8643,47.9332,1.46623,61.6141,46.1107,30.8233,45.4689,14.7344,10.3642,9.94973,6.41429,7.54457,7.38547,7.87614,7.3484,7.45815
1,7.25156,6.90377,15.5219,30.5318,1.54354,22.8675,1.46492,1.51853,0.758728,2.85844,30.7112,4.76536,30.9717,43.4755,45.0155,41.0308,30.0358,68.2143,234.626,303.29,267.457,357.414,290.816,214.372,65.4865,44.1203,198.201,179.426,15.1323,110.223,147.117,73.4328,48.1308,3.05736,113.483,87.5078,66.3337,142.981,70.0182,80.2565,73.6907,70.6893,102.828,81.107,22.5549,69.3306,8.06682,7.50692,89.5862,45.9389,1.44889,55.5951,46.6546,30.6122,42.2409,15.7275,10.4442,9.92946,7.01198,7.34395,7.6899,7.63078,7.5191,7.77136
2,7.73051,7.72449,15.2326,29.246,1.61149,22.0503,1.67544,1.28148,0.566911,3.18098,31.3007,4.77853,28.5851,44.3544,46.1784,39.2771,30.8437,74.5959,248.518,295.986,287.718,368.951,300.722,220.851,61.012,45.3386,201.447,148.669,14.1113,106.859,158.131,74.0348,44.5749,3.26102,122.309,84.3018,58.3684,150.639,74.3727,86.7427,85.2242,75.2562,103.6,93.0039,22.7605,71.6685,7.24072,7.20548,93.3618,43.6298,1.54862,60.8893,41.7436,32.24,43.9052,14.3117,10.6355,10.914,6.00369,7.82401,7.58075,7.98627,7.81015,7.3186
3,7.26038,7.83867,15.1008,30.5599,1.52012,22.4239,1.4537,1.47632,0.910348,3.09227,30.1148,4.26211,29.9503,47.3915,47.0579,37.0974,30.3257,68.6058,253.26,327.757,279.955,309.108,255.432,212.519,56.7909,47.5582,184.54,162.308,14.1563,111.563,157.796,70.5706,45.3474,2.82847,124.345,88.8799,61.6899,149.084,73.0431,78.9355,73.0458,71.4623,101.85,83.6074,22.8582,68.4811,7.34514,7.05444,86.8895,40.7226,1.56774,60.2271,43.9872,29.6739,44.4859,13.9671,11.4583,9.59873,5.67729,7.87374,7.87268,8.02662,7.04801,7.43382
4,8.72373,7.82297,15.0315,28.1619,1.44281,24.0416,1.6223,1.44774,0.646464,2.82962,32.7782,4.59647,31.1732,45.4223,43.2506,38.8627,29.9419,74.6567,230.253,314.119,279.214,364.617,314.929,230.223,57.1081,44.7566,179.363,168.183,16.7497,101.071,141.853,72.7073,45.537,3.14525,122.835,89.501,61.4097,143.754,74.3455,85.3287,83.5521,69.2854,97.821,79.7306,22.0907,69.6775,7.82821,7.62273,90.9479,44.6538,1.41808,59.0262,43.5323,31.5579,46.8027,14.9528,10.159,9.78977,5.90533,7.37611,7.45905,6.90522,7.43309,7.94588
5,7.76339,7.49873,14.0877,29.7625,1.49041,21.877,1.43927,1.52366,0.725544,2.97135,29.0969,4.4861,29.2581,45.2902,45.5415,36.6715,28.0371,80.1701,249.745,275.604,266.831,353.453,283.66,220.477,60.235,46.4175,185.458,171.73,15.3215,104.981,147.088,70.6869,45.6574,2.89586,120.088,87.707,62.7925,139.042,70.6088,82.8563,76.1198,77.7742,103.025,78.977,23.5185,69.5708,7.72943,7.75048,85.1497,45.8906,1.5025,64.7748,45.5142,31.596,47.2825,14.8902,10.3445,10.4796,5.61231,7.14621,7.89499,7.17893,7.43686,7.29801
6,7.81575,7.12668,16.4621,27.7149,1.57473,22.8907,1.28359,1.58855,0.804961,2.94583,30.4687,4.61166,28.5249,44.043,47.3222,38.4623,26.3822,81.8172,234.585,313.066,260.009,298.197,261.297,211.761,60.1813,42.0449,202.171,163.054,15.0128,100.969,135.009,78.8243,44.6951,3.30565,125.3,86.3285,60.9094,145.082,74.0812,78.8728,80.6598,78.1446,99.6489,77.4962,20.8742,72.9156,7.8071,7.72657,94.7553,48.2084,1.51412,61.001,43.9112,30.7122,46.4977,14.2837,10.2787,10.5973,6.24406,7.31169,7.97719,7.85353,6.97997,7.20343
7,7.06529,7.62327,14.0879,28.0871,1.61185,21.8188,1.51009,1.64674,0.653616,2.85963,29.6836,4.63352,29.9197,46.5131,47.7116,36.5415,31.4627,75.6032,257.356,313.497,253.611,333.792,293.95,190.477,54.1343,41.8817,179.495,169.027,15.0312,104.256,154.677,69.197,48.5204,3.0091,115.13,81.375,59.4245,156.802,74.259,77.4951,74.2966,70.0258,100.074,83.1966,22.261,66.6562,7.60834,7.4146,87.7963,43.6696,1.72326,60.1878,45.0762,30.5795,42.8005,14.4505,10.8751,10.4176,5.93837,7.56386,7.29292,7.77493,8.0149,7.50809
8,7.97114,6.89042,14.4262,27.9575,1.41795,22.2197,1.42126,1.58703,0.798423,3.00678,27.4251,4.85034,28.9553,40.7174,47.2075,38.0536,30.3862,75.5659,222.768,299.894,267.342,334.808,269.7,237.922,60.3208,48.1693,200.979,168.175,14.6014,106.933,158.953,78.2255,40.0892,2.94863,113.59,82.7865,63.0443,143.62,77.2598,84.0024,68.1185,81.3132,89.8089,80.614,25.3689,64.5193,7.36757,7.16113,93.3426,40.9317,1.42691,60.5447,41.012,32.0802,47.4774,15.7213,9.78759,11.4742,6.41468,7.44633,7.53487,7.93495,7.8001,7.43996
9,7.34413,7.28369,16.6885,31.4942,1.34809,23.4664,1.60509,1.60684,0.839767,3.07198,30.0589,4.77302,31.6895,46.8186,42.531,38.0866,30.9643,78.1699,234.145,311.439,264.197,333.455,287.552,228.416,61.4148,48.7449,193.133,164.875,15.4725,103.077,149.969,73.3295,43.8633,2.97642,122.486,86.6506,60.484,146.433,69.6383,85.9395,74.3113,80.9612,95.1541,77.7112,21.201,67.5208,7.63229,7.55447,88.2958,47.2039,1.45154,60.0361,43.7804,26.033,48.8149,14.8245,9.90345,10.4113,5.99667,7.48463,7.96958,7.58485,7.57106,7.78713
