real_name,beta,diffusion_coefficient,eruption_mass,fall_time_threshold,median_grainsize,plume_height,std_grainsize,wind0_height:10974.0_dir,wind0_height:10974.0_vel,wind0_height:112.0_dir,wind0_height:112.0_vel,wind0_height:12456.0_dir,wind0_height:12456.0_vel,wind0_height:14262.0_dir,wind0_height:14262.0_vel,wind0_height:1525.0_dir,wind0_height:1525.0_vel,wind0_height:16622.0_dir,wind0_height:16622.0_vel,wind0_height:18640.0_dir,wind0_height:18640.0_vel,wind0_height:20616.0_dir,wind0_height:20616.0_vel,wind0_height:23814.0_dir,wind0_height:23814.0_vel,wind0_height:26442.0_dir,wind0_height:26442.0_vel,wind0_height:3163.0_dir,wind0_height:3163.0_vel,wind0_height:4432.0_dir,wind0_height:4432.0_vel,wind0_height:5882.0_dir,wind0_height:5882.0_vel,wind0_height:7604.0_dir,wind0_height:7604.0_vel,wind0_height:796.0_dir,wind0_height:796.0_vel,wind0_height:9708.0_dir,wind0_height:9708.0_vel
0,0.330928,1036.43,3.36519e+10,868.539,0.124276,13462.9,2.42909,46.2114,57.9614,0.166787,240.933,40.8453,60.1464,21.5418,70.2709,14.4749,327.893,10.8307,90.6952,-4.84706,86.3513,-21.9683,81.6657,5.62619,275.577,21.6364,265.69,11.7055,371.494,-2.66742,17.3957,-0.304795,65.8897,-3.61893,98.0754,-39.0827,270.287,26.7367,60.4373
1,0.390945,699.921,3.44379e+10,853.38,0.0395116,13221.5,2.56208,36.3696,62.3008,-4.36025,239.024,70.2525,61.4777,5.96086,74.9745,14.1248,357.419,16.6446,96.1415,-25.3119,100.021,-15.0944,87.2852,-15.0711,265.125,34.2446,289.558,-13.0353,374.228,4.41576,17.5736,34.4785,74.7344,-22.6076,88.9742,-13.4108,278.195,4.92205,59.1125
2,0.411703,1581.88,3.88831e+10,790.754,-0.0535624,13361.4,2.32914,25.7574,60.3028,0.183615,263.624,57.095,62.0023,20.7566,70.1853,3.22543,327.639,0.411117,92.2865,4.26505,89.922,0.821705,85.7795,21.6944,262.608,14.7314,260.262,3.78514,395.383,8.58004,16.8319,-0.0105863,67.8138,-2.63327,95.6294,-28.875,261.418,34.4543,55.4414
4,0.410288,1243.14,3.9178e+10,786.768,0.163013,13274.3,2.65084,35.939,52.839,22.5822,249.603,27.7657,57.4729,23.5881,77.9825,-8.56747,339.579,29.1831,97.2905,-21.9916,86.0052,-2.88419,85.7972,26.0491,302.416,-1.45704,267.318,10.8805,388.862,4.40457,16.5046,6.36538,75.1051,-17.5051,94.4226,-18.4551,279.128,53.8731,54.951
5,0.387216,1137.27,3.79567e+10,832.849,0.23756,13202.5,2.35884,26.0166,59.5826,7.21243,247.43,65.0654,52.9964,-4.59274,70.2935,4.06139,337.202,4.97836,85.5615,0.484114,105.065,-17.8851,84.9249,-4.58186,259.653,34.2588,282.598,4.22622,392.131,-1.85782,17.2553,21.298,75.3329,-11.3821,83.7584,-23.54,278.743,28.9167,56.6642
6,0.356173,1147.27,1.94262e+10,994.71,0.741789,14450.5,2.92619,-1.97741,61.1814,-25.3347,314.469,55.8249,56.685,21.1732,79.9851,-30.3145,255.953,-13.5889,72.2769,14.4869,91.8359,45.7717,72.7143,-17.7073,251.659,-12.0804,265.61,7.06615,288.866,6.70241,16.2974,-1.76318,80.4803,-21.4464,88.5965,-2.29432,317.812,15.6198,55.0727
7,0.387727,1092.32,4.09069e+10,799.003,0.15609,13261.2,2.29767,35.2671,60.7816,0.629092,259.714,60.1834,60.0812,14.8361,73.1533,6.13445,316.376,9.51175,90.5379,19.2848,90.911,5.39485,83.6161,6.55741,268.484,23.922,258.253,-2.08686,372.528,6.72988,16.895,1.13046,69.0659,-1.77932,90.7845,-19.7076,266.096,29.093,57.1131
8,0.272082,674.731,4.72265e+10,887.691,-0.13763,13142.2,2.45405,34.4214,63.5252,-16.9336,294.377,83.5625,51.007,32.5535,68.7047,0.626034,276,46.6783,86.4556,33.7944,98.8893,-6.65711,99.3231,-31.9373,259.518,21.5702,257.857,5.37176,361.885,11.1229,17.4947,-9.01458,73.1255,9.44983,96.7619,-20.8266,281.053,15.4779,55.9659
9,0.345506,1387.12,2.74317e+10,839.003,0.88715,14127,2.09965,37.5559,56.5559,3.979,210.182,9.28239,75.4085,18.8942,83.3152,15.9843,352.311,7.50395,79.4732,19.4279,74.8762,-40.2878,88.743,-23.7993,249.556,29.7417,312.203,-7.22364,374.885,-17.8573,19.1756,5.29795,88.7652,7.49928,89.7972,-24.637,263.376,2.53585,56.7753
10,0.41048,1142.62,4.19934e+10,830.035,-0.0558299,13578,2.42758,33.3871,63.2656,-13.702,238.71,61.6491,61.2295,2.88792,70.2312,8.58208,327.776,5.90111,91.6198,3.90869,90.337,-4.6044,85.5583,-16.9786,265.633,25.4224,252.645,-1.74291,370.686,-4.97518,17.1123,12.3547,73.8697,-4.75713,96.2766,-21.9885,256.791,28.1409,55.9296
