real_name,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.9800_north:1472953.200,mass_east:692320.9146_north:1470354.661,mass_east:692341.8300_north:1473492.400,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.8900_north:1473096.060,mass_east:692625.6287_north:1471812.114,mass_east:693237.5500_north:1473027.710,mass_east:693307.8300_north:1472882.830,mass_east:693883.8300_north:1473125.850,mass_east:694377.3600_north:1467140.620,mass_east:695371.1900_north:1473577.850,mass_east:695655.1900_north:1473710.470,mass_east:697797.7000_north:1474207.000,mass_east:697897.3700_north:1474135.590,mass_east:697934.4700_north:1474070.690,mass_east:697994.9800_north:1474063.940,mass_east:698174.9200_north:1473965.360,mass_east:698193.1400_north:1473787.020,mass_east:698366.8800_north:1479093.000,mass_east:698388.5400_north:1479093.160,mass_east:698414.0100_north:1473663.840,mass_east:698421.1500_north:1473650.610,mass_east:698637.1944_north:1479927.937,mass_east:699066.5700_north:1473349.550,mass_east:699749.1900_north:1478820.010,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.1100_north:1479002.790,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.7800_north:1475734.540,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.180,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.3700_north:1474878.730,mass_east:702482.6430_north:1470462.430,mass_east:702518.8983_north:1470461.695,mass_east:702558.4110_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.960,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.3490_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.1090_north:1468505.821,mass_east:703894.7541_north:1465612.150,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652
0,2.0097,2.21764,3.23455,3.15652,1.79415,3.7879,1.82986,1.79979,1.79915,4.70815,4.11106,3.0153,5.93399,5.96392,9.56742,1.29413,44.1322,64.2761,333.356,318.867,306.962,302.622,275.371,245.719,39.4053,39.5864,213.131,210.767,26.7773,139.279,57.1412,47.1719,66.9359,1.55709,59.0757,51.872,74.4072,119.569,83.8298,71.1095,73.9127,81.414,98.6887,101.573,27.875,79.7154,12.5126,12.4407,93.5906,38.3256,1.48124,3.46258,60.3605,42.1334,59.6629,24.9589,9.87918,9.8696,6.87087,4.78361,1.81697,13.9768,2.69057,3.04486
1,1.24865,1.37855,2.01522,1.96525,1.12715,2.36407,1.14992,1.13484,1.13491,2.95181,2.56178,1.88324,3.69718,3.71763,5.93698,0.850224,27.1938,40.5706,282.311,272.362,263.414,260.223,238.514,213.55,40.8907,41.1375,185.288,183.208,28.867,119.548,62.9434,53.4233,56.3972,1.12153,66.6076,59.6567,65.6233,117.361,75.9647,79.7396,68.2809,90.2999,104.855,106.148,23.4232,76.5956,9.95629,9.90144,94.1209,33.8163,1.08586,2.61762,57.5192,38.6913,58.8415,21.8038,7.90143,7.89449,5.38702,3.68818,1.353,11.6119,2.03287,2.31112
2,1.8584,2.05059,3.02586,2.94442,1.62089,3.5559,1.65317,1.62017,1.61897,4.44391,3.83602,2.76971,5.49489,5.50962,8.70373,1.13123,34.0351,46.9008,285.251,280.93,273.209,273.983,261.035,232.954,43.1204,43.3502,210.847,208.666,29.8461,146.86,64.2819,53.9315,69.0074,1.33493,66.7526,59.3292,77.7936,123.968,87.2967,78.4213,74.448,87.18,100.182,101.7,26.687,78.3181,11.3269,11.2643,91.1935,37.248,1.27123,3.01172,58.0947,40.3328,56.1142,23.5274,8.96431,8.95595,6.14399,4.22185,1.5672,12.9003,2.34033,2.65668
4,1.50384,1.65414,2.40806,2.34571,1.3359,2.81947,1.36175,1.34015,1.33975,3.51407,3.03939,2.22291,4.34887,4.36429,6.96517,0.999526,31.7938,46.1429,275.136,270.395,264.578,263.37,249.129,229.235,39.6267,39.8507,205.889,204.062,27.5566,140.448,60.6612,51.3035,64.8406,1.5785,64.5412,58.0867,70.4846,118.98,79.9013,78.2203,69.3499,88.8528,101.728,102.568,25.2405,74.9226,11.7955,11.7134,89.9807,34.5334,1.56141,3.6095,55.2077,37.7786,54.1268,22.085,9.08339,9.07286,6.50769,4.70013,1.89444,12.4543,2.75137,3.08633
5,1.32807,1.4609,2.13253,2.07532,1.1795,2.50029,1.2025,1.18422,1.18397,3.12797,2.68876,1.96239,3.84098,3.85225,6.14073,0.887263,28.0052,40.9821,274.725,268.814,261.76,260.619,245.123,222.113,43.9952,44.2538,198.572,196.632,30.9642,135.938,66.7839,56.5369,65.0395,1.27877,69.7967,62.5563,71.6433,121.396,81.2107,81.994,70.8038,91.0932,102.873,103.68,25.9213,76.4596,11.6598,11.5918,91.2295,35.583,1.28472,3.15084,56.6278,38.9631,55.5055,22.8778,9.17691,9.16769,6.39978,4.44297,1.62918,12.8606,2.46083,2.79848
6,3.6593,4.0855,5.18364,5.27096,4.35716,5.73345,4.45247,4.56657,4.58607,6.36145,6.74769,6.21526,9.99638,10.3942,15.8985,4.50543,59.9717,79.3256,312.739,321.131,326.199,326.819,328.861,333.075,17.5052,17.6382,321.547,320.918,12.4797,255.529,32.3962,28.6387,130.386,6.45524,39.3509,36.1928,103.209,105.585,101.932,54.1735,88.155,67.0304,87.8343,92.7308,52.4672,87.8919,32.621,32.3089,94.457,57.9382,5.816,12.1197,72.7817,57.4904,70.5115,40.4301,23.4671,23.4232,18.4221,14.3803,6.59239,27.2254,9.07765,10.0077
7,2.24649,2.47681,3.6547,3.55459,1.94147,4.29235,1.97979,1.93638,1.93449,5.35909,4.62115,3.32738,6.59427,6.60703,10.4354,1.31673,43.1199,60.47,281.732,272.813,264.482,262.051,243.017,219.506,43.0472,43.2401,193.853,191.89,29.88,129.524,61.1685,51.3771,60.3498,1.4209,62.9452,56.1217,65.8119,108.943,74.107,73.7758,64.7987,82.3713,94.2189,95.1725,23.9582,70.2792,10.7579,10.6914,84.2749,32.9003,1.30942,3.01776,52.5687,36.1833,52.1512,21.1681,8.39048,8.38158,5.85445,4.09759,1.57629,11.7904,2.31793,2.61801
9,3.04182,3.33153,5.03698,4.84815,2.4377,5.97656,2.4828,2.40137,2.39593,7.6495,6.27288,4.2876,8.7798,8.70792,13.7991,1.5088,60.3261,86.4542,304.98,285.951,272.082,267.175,239.249,210.04,72.9412,73.106,181.246,179.137,50.5722,120.756,92.9715,77.1533,62.5872,1.56357,92.0218,80.5255,76.1296,146.379,89.3712,103.959,80.8171,113.262,130.089,131.418,27.8579,91.1036,12.1909,12.1327,113.201,40.0073,1.47736,3.40582,67.2485,45.4225,67.3085,26.166,9.91244,9.9051,6.85446,4.75211,1.81289,14.3927,2.67996,3.03232
10,2.163,2.38447,3.57371,3.46304,1.82263,4.22627,1.8585,1.8108,1.80828,5.34445,4.52521,3.18231,6.47889,6.47149,10.3304,1.19506,42.9167,60.2075,294.92,282.3,271.007,268.023,244.465,215.611,42.2963,42.4437,187.235,185.051,28.2093,122.075,57.3293,46.5903,58.3803,1.27905,57.3975,49.9172,67.1066,112.312,76.6076,67.82,68.2179,77.2999,93.9904,96.782,24.3108,74.9741,10.4395,10.3824,89.2952,34.606,1.19259,2.79541,56.9003,39.0156,57.3859,22.4213,8.29166,8.28431,5.66616,3.89116,1.4542,12.1076,2.16153,2.45121
11,2.50073,2.74684,3.98422,3.88343,2.16536,4.64869,2.20597,2.15491,2.15231,5.74585,5.01072,3.64757,7.11192,7.12665,11.2292,1.4494,45.8846,63.8118,310.475,294.743,280.948,277.807,251.683,218.86,45.0531,45.2577,190.239,187.957,30.5541,127.295,63.4964,51.3179,63.6862,1.56059,62.5981,53.7745,74.0611,123.825,84.4984,71.5317,73.6236,79.206,95.0435,98.0821,26.6348,78.5337,11.8173,11.7553,90.6997,37.117,1.48153,3.36379,58.6372,40.7296,57.0751,23.9546,9.47616,9.46795,6.6253,4.64204,1.80993,13.4255,2.65177,2.99159
