real_name,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.9800_north:1472953.200,mass_east:692320.9146_north:1470354.661,mass_east:692341.8300_north:1473492.400,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.8900_north:1473096.060,mass_east:692625.6287_north:1471812.114,mass_east:693237.5500_north:1473027.710,mass_east:693307.8300_north:1472882.830,mass_east:693883.8300_north:1473125.850,mass_east:694377.3600_north:1467140.620,mass_east:695371.1900_north:1473577.850,mass_east:695655.1900_north:1473710.470,mass_east:697797.7000_north:1474207.000,mass_east:697897.3700_north:1474135.590,mass_east:697934.4700_north:1474070.690,mass_east:697994.9800_north:1474063.940,mass_east:698174.9200_north:1473965.360,mass_east:698193.1400_north:1473787.020,mass_east:698366.8800_north:1479093.000,mass_east:698388.5400_north:1479093.160,mass_east:698414.0100_north:1473663.840,mass_east:698421.1500_north:1473650.610,mass_east:698637.1944_north:1479927.937,mass_east:699066.5700_north:1473349.550,mass_east:699749.1900_north:1478820.010,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.1100_north:1479002.790,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.7800_north:1475734.540,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.180,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.3700_north:1474878.730,mass_east:702482.6430_north:1470462.430,mass_east:702518.8983_north:1470461.695,mass_east:702558.4110_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.960,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.3490_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.1090_north:1468505.821,mass_east:703894.7541_north:1465612.150,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652
0,7.49017,6.92223,13.808,31.0922,1.58814,21.1064,1.41293,1.51641,0.761605,3.17977,30.7885,4.71424,29.1903,46.3726,47.5725,39.0178,29.8479,74.1658,244.898,316.98,282.67,346.818,265.034,238.235,58.3899,47.1667,203.843,168.217,14.6206,97.6022,148.238,70.3089,42.2476,2.90177,120.585,81.8386,62.1763,141.91,78.9943,81.4038,71.7212,76.679,101.882,82.2436,23.1357,69.1842,7.24983,8.12158,88.5749,47.8408,1.66408,51.8981,45.6424,30.0885,42.1895,14.9977,11.5426,10.5256,6.25556,7.71015,7.48582,7.51671,6.89276,7.23705
1,7.58017,7.78462,15.2305,29.6308,1.58395,23.0851,1.58552,1.47379,0.921369,2.94491,30.715,4.55422,30.9289,44.723,46.5236,38.8622,29.9464,79.9936,236.86,303.996,262.995,366.058,280.885,195.533,59.7562,49.4046,199.094,174.452,15.4014,106.057,144.167,73.413,44.1356,2.97162,118.227,70.462,62.5756,145.95,68.6842,90.4924,73.217,66.9904,102.489,76.2509,21.0414,63.2038,7.48568,7.56668,89.5648,43.0031,1.52178,59.1137,45.5378,29.429,45.115,15.1145,10.5098,10.0511,6.08839,7.44683,7.01294,7.00114,7.46793,7.94653
2,7.70353,7.3883,14.8123,33.4294,1.35225,22.3269,1.49688,1.52221,0.780323,3.13254,30.9965,4.62185,31.4159,42.3619,45.6887,40.0276,30.7841,74.0615,243.888,287.904,270.642,341.275,300.575,238.607,60.8159,45.5202,218.362,155.82,15.7943,105.34,158.003,74.1495,45.0743,2.9992,114.767,89.4149,65.1036,147.068,77.7847,89.5656,75.9453,75.4791,91.2547,81.7347,24.7516,73.023,7.24766,7.24502,92.2876,47.0086,1.54853,61.2884,43.5145,29.8936,44.3241,16.0979,10.7384,9.88698,5.40734,7.19676,7.3212,7.44386,7.39157,7.41933
3,7.82745,7.70511,14.6215,30.428,1.57526,22.7697,1.52502,1.5251,0.644117,2.81267,30.4194,4.7986,30.6858,47.1463,45.3325,36.8292,27.6915,81.6394,218.605,312.02,290.252,325.869,279.302,228.365,67.4015,46.8529,187.726,161.308,15.3845,114.169,154.359,72.4084,48.3738,3.05509,114.542,85.9208,56.0022,147.744,70.4293,81.0474,74.1789,75.4445,95.4046,87.2151,23.1188,72.8383,7.65376,7.99768,90.8968,42.6914,1.59089,60.9545,43.7488,31.2345,49.2499,15.3796,10.3114,10.2252,6.09804,7.3329,7.0245,7.89902,7.5347,7.33379
4,7.50342,7.99506,13.9837,30.5393,1.49145,21.3969,1.53018,1.7749,0.542827,2.80754,29.8535,4.72478,28.3957,43.962,47.2934,36.1652,27.5994,70.5907,235.361,280.322,262.943,358.57,266.378,219.58,58.8532,46.3006,202.52,159.951,15.0644,103.543,157.78,76.1434,43.4762,3.22787,121.182,84.0328,61.7246,150.265,75.3848,79.4247,76.9329,80.5032,109.465,90.1638,22.0291,67.837,6.68909,8.09521,92.6489,41.3176,1.378,61.5846,43.9473,30.7735,42.547,16.2085,11.1543,10.4864,6.35622,7.8213,7.20149,7.978,8.02251,7.96675
5,7.9676,7.48199,15.2919,31.6624,1.32246,23.5159,1.67009,1.46561,0.561573,3.11099,30.6766,4.62421,28.9525,43.9014,44.0458,40.0904,29.8723,69.0166,250.384,296.885,272.998,348.088,256.558,216.34,55.3324,46.6782,189.947,161.722,15.4171,104.132,147.319,71.0796,41.2058,3.13089,106.736,79.2261,60.3669,148.424,84.018,90.3512,79.1583,83.5427,103.27,83.5616,22.7348,70.4059,7.8088,7.18353,90.7997,46.0029,1.55304,59.0729,49.2263,28.7601,46.7281,13.0776,10.5403,11.6049,5.75953,7.59897,7.6608,7.69436,7.21555,7.63307
6,7.29216,6.87011,14.1373,30.5681,1.40317,22.1517,1.3507,1.70695,0.8551,3.1285,31.5191,4.61067,33.7154,47.2868,44.265,37.8141,30.2074,67.8738,222.639,274.419,250.644,352.356,296.605,221.624,53.9007,43.7424,178.684,155.327,13.5508,105.448,144.588,80.0634,45.6089,3.04353,124.799,78.0986,59.4016,147.113,76.4632,81.4523,71.1426,76.6805,90.3361,82.7874,21.5654,65.8096,8.14685,6.76327,85.385,48.6715,1.52971,59.6859,43.9646,27.7847,43.764,14.3656,10.0274,10.6253,5.95088,7.15962,6.82073,7.37835,6.65265,7.78126
7,7.0981,7.4716,16.1271,30.3375,1.33395,21.0492,1.61795,1.48395,0.790495,2.91732,29.5102,4.17523,29.814,48.3013,43.0673,40.0296,30.5019,73.6354,233.346,269.962,277.282,334.713,296.893,227.77,61.8304,42.8956,208.382,169.502,15.6881,103.878,142.319,70.6914,43.249,3.10244,122.835,77.3135,59.1483,136.085,74.8852,83.3852,76.8467,80.1863,99.4805,75.6075,24.2561,69.4232,7.76589,7.10432,94.476,44.2083,1.48187,60.0936,47.1657,28.7267,39.1798,14.914,10.318,9.4427,5.99827,7.3597,6.64105,7.26697,7.44596,7.74025
8,7.4281,7.5289,17.178,30.9115,1.36794,23.9678,1.48029,1.53295,0.685196,2.85575,29.5973,4.51718,29.365,44.6087,44.6878,38.8645,31.8809,71.3601,250.08,312.545,260.257,338.135,288.233,232.274,55.892,48.8516,187.936,146.185,13.4982,101.193,151.409,73.4291,44.6977,2.81099,125.314,81.1972,62.9984,139.852,82.3779,82.9891,77.1035,73.067,100.923,84.5436,22.1516,67.2169,7.12258,6.95233,85.6874,42.6184,1.52815,64.4584,47.7692,25.0617,41.7847,13.7564,10.124,10.6903,5.75573,7.58003,6.80753,8.06652,7.59417,7.62119
9,7.10489,7.91525,14.1631,31.3585,1.50787,23.2427,1.51522,1.56788,0.69296,3.15783,29.5723,4.38216,28.4777,45.7687,48.8306,38.7108,31.7181,74.4928,229.566,296.963,260.27,361.251,268.66,231.445,66.0373,48.0602,190.327,168.287,14.7712,107.232,172.055,76.4827,43.3928,2.8064,124.236,81.199,61.0004,129.205,81.4161,84.0608,74.5092,73.4789,102.858,80.9247,21.2695,68.4874,6.78563,7.47639,89.5876,43.4899,1.67094,59.896,45.7926,30.4068,45.774,15.8009,10.557,10.5703,5.37845,8.10442,7.52791,7.09534,7.63629,7.64651
