real_name,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.9800_north:1472953.200,mass_east:692320.9146_north:1470354.661,mass_east:692341.8300_north:1473492.400,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.8900_north:1473096.060,mass_east:692625.6287_north:1471812.114,mass_east:693237.5500_north:1473027.710,mass_east:693307.8300_north:1472882.830,mass_east:693883.8300_north:1473125.850,mass_east:694377.3600_north:1467140.620,mass_east:695371.1900_north:1473577.850,mass_east:695655.1900_north:1473710.470,mass_east:697797.7000_north:1474207.000,mass_east:697897.3700_north:1474135.590,mass_east:697934.4700_north:1474070.690,mass_east:697994.9800_north:1474063.940,mass_east:698174.9200_north:1473965.360,mass_east:698193.1400_north:1473787.020,mass_east:698366.8800_north:1479093.000,mass_east:698388.5400_north:1479093.160,mass_east:698414.0100_north:1473663.840,mass_east:698421.1500_north:1473650.610,mass_east:698637.1944_north:1479927.937,mass_east:699066.5700_north:1473349.550,mass_east:699749.1900_north:1478820.010,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.1100_north:1479002.790,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.7800_north:1475734.540,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.180,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.3700_north:1474878.730,mass_east:702482.6430_north:1470462.430,mass_east:702518.8983_north:1470461.695,mass_east:702558.4110_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.960,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.3490_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.1090_north:1468505.821,mass_east:703894.7541_north:1465612.150,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652
0,0.917843,0.978144,1.73467,1.57599,0.495098,2.18624,0.501954,0.459401,0.455525,3.18475,2.00464,1.03426,2.50446,2.36492,3.52621,0.195262,9.73838,12.3231,34.0899,31.7167,29.7467,29.3784,26.0772,21.8205,86.2227,85.9892,18.5602,18.2897,67.7259,11.8176,72.3786,67.1136,5.65041,0.127472,66.5386,66.2006,8.08387,27.4193,10.4946,64.8349,9.95254,62.7028,47.3158,40.4585,2.33774,13.4236,0.833614,0.830333,23.2055,3.9661,0.11289,0.234568,8.89822,5.03859,10.1128,2.4573,0.694901,0.694638,0.461347,0.318182,0.131352,1.14654,0.185906,0.208108
1,0.645006,0.704177,1.07653,1.03044,0.509443,1.28535,0.518625,0.501591,0.50045,1.6733,1.32971,0.893641,1.83891,1.81748,2.8462,0.321663,12.3228,18.4413,93.5853,86.3006,81.0205,79.3405,69.5795,59.0972,64.1482,64.5914,50.133,49.4528,51.8876,33.6872,98.9105,89.5043,19.6453,0.354211,105.577,97.8526,30.5543,106.809,40.8765,117.283,40.0536,121.993,122.129,116.767,9.46564,53.4973,3.41462,3.40433,82.6287,16.1938,0.348896,0.826716,36.2221,20.9477,39.7098,10.1485,2.89508,2.89425,1.87469,1.23247,0.442124,4.77565,0.66678,0.760955
2,0.733428,0.804787,1.20781,1.16569,0.62146,1.43567,0.633305,0.619956,0.619419,1.84914,1.52161,1.06053,2.1906,2.18349,3.61103,0.448002,16.9321,23.8592,135.849,134.944,131.771,133.123,130.313,117.348,48.3966,48.73,110.759,109.819,34.5226,87.4973,76.374,65.5315,47.2112,0.632868,80.5445,72.8296,62.4752,125.92,75.3316,93.7084,67.4565,102.762,113.349,113.113,19.1784,76.7605,7.00237,6.97991,96.3487,30.5147,0.653373,1.63871,55.8361,36.16,56.9083,19.1556,5.89457,5.89241,3.82531,2.49898,0.855218,9.48092,1.322,1.51831
4,2.79087,3.06322,4.26685,4.19714,2.54666,4.88387,2.59417,2.55296,2.55188,5.82002,5.32782,4.10904,7.42921,7.49549,11.2397,1.83329,36.3315,46.9095,183.298,186.301,186.608,188.066,189.062,183.798,26.7961,26.9676,178.729,178.077,20.1239,147.938,44.1043,41.0883,78.8519,2.33267,52.4448,51.6323,71.1128,88.3822,73.6752,67.7955,61.8079,79.3572,84.5509,82.9476,29.7195,62.5832,16.4958,16.3566,72.3761,35.3845,2.37018,5.47364,48.6138,35.9735,47.4123,23.4678,12.2325,12.2132,9.33325,7.05554,2.9484,14.9247,4.26211,4.76057
5,0.276666,0.301898,0.445599,0.42986,0.235144,0.525899,0.239416,0.234775,0.234606,0.673144,0.551732,0.390021,0.773995,0.770195,1.25363,0.176466,7.49486,11.8055,105.29,102.935,99.3981,99.7614,94.6392,82.7791,38.0473,38.4245,74.9591,74.1101,28.6732,54.3217,70.4476,62.6359,29.7099,0.293346,79.1389,72.7215,45.1478,113.965,57.9347,94.4434,54.781,103.545,112.774,111.692,13.5412,67.4931,4.50269,4.49783,91.11,23.18,0.331335,0.900451,47.831,29.1972,50.3016,14.6005,3.98402,3.9842,2.46387,1.52207,0.466302,6.87245,0.755291,0.881317
6,2.33411,2.60164,3.24132,3.30581,2.85347,3.56172,2.91488,3.00208,3.01618,3.91536,4.20305,3.95994,6.1889,6.44581,9.70792,3.07429,32.1668,40.7253,161.51,169.294,172.905,176.341,186.82,188.929,15.0801,15.215,196.2,196.256,11.2332,193.118,29.0776,26.3139,130.877,4.74015,35.6475,33.3871,111.089,96.926,107.019,48.4955,91.6877,59.5412,76.6064,81.0564,59.1685,86.4791,33.5923,33.3887,86.3626,65.0301,4.55176,10.1229,74.604,62.6306,70.6455,46.486,26.4426,26.4105,19.5359,13.9241,5.50768,32.2139,7.99129,8.99961
7,2.1235,2.3285,3.46275,3.34875,1.76428,4.08082,1.79733,1.74818,1.74531,5.1531,4.32247,3.03841,6.06576,6.04255,9.50465,1.1488,38.0976,52.319,193.514,185.828,179.151,177.409,163.867,146.886,51.4517,51.6803,130.379,129.072,37.6213,90.5869,71.0787,62.0439,46.4141,1.2042,73.5137,67.488,54.7742,99.9284,63.4867,83.6645,57.6032,90.9004,97.2812,96.0446,20.286,65.0218,8.94031,8.89441,81.2587,29.0859,1.12152,2.54178,49.0172,33.2513,50.141,19.1083,7.19917,7.19334,4.99304,3.48428,1.35588,10.4396,1.98453,2.23885
8,2.28291,2.51029,3.70373,3.59656,1.92773,4.34141,1.96465,1.91349,1.91066,5.40018,4.64083,3.31946,6.49092,6.48597,9.88251,1.26321,33.9745,46.2122,231.323,221.007,211.521,209.315,190.403,166.322,41.0117,41.2309,144.635,142.916,30.0722,98.0698,61.4565,53.7814,54.9086,1.3961,66.4557,61.0303,67.1335,114.238,77.3353,80.1599,71.4507,90.9342,104.395,105.67,27.3432,79.4279,12.0197,11.969,95.1027,38.7902,1.34079,3.17918,61.9353,43.9609,62.654,26.419,9.88979,9.8834,6.71292,4.55598,1.66953,14.6535,2.50381,2.84836
9,5.35188,5.90154,8.31938,8.18712,4.82459,9.56141,4.91755,4.81608,4.81145,11.4288,10.4936,8.00242,14.8128,14.9383,22.7281,3.14284,76.501,99.0032,239.909,229.69,222.857,218.829,200.369,185.466,40.6763,40.8577,163.501,162.131,30.5705,112.045,57.6904,51.8542,57.288,2.6042,62.3727,58.6352,58.4356,88.8378,63.9881,73.6892,57.6075,82.1406,88.8619,87.856,25.4029,62.8525,13.2551,13.159,76.2586,32.7159,2.19488,4.51628,49.5323,35.7056,50.8262,22.3666,10.1533,10.1404,7.48851,5.56542,2.45038,13.3693,3.40031,3.77007
10,1.18314,1.29275,1.9991,1.91011,0.920654,2.40045,0.937433,0.904997,0.90279,3.15626,2.48484,1.63966,3.4949,3.44798,5.63812,0.578401,26.2018,37.2024,155.753,148.039,141.256,140.012,128.154,111.785,60.3881,60.6646,98.7432,97.6187,43.2741,69.3966,82.9197,71.1444,37.2075,0.678596,83.6692,75.5861,49.3842,106.565,60.059,92.9381,55.4602,99.1425,105.249,103.526,16.5519,65.2042,6.47831,6.4542,84.9408,25.7307,0.673535,1.62079,47.683,30.7548,49.5383,16.5248,5.39091,5.38827,3.57401,2.38592,0.856707,8.4093,1.29661,1.47934
11,2.42078,2.60378,4.05956,3.83616,1.63228,4.85926,1.65639,1.55781,1.54918,6.36975,4.84441,3.01106,6.35378,6.17273,9.33957,0.802849,29.9165,38.7315,101.35,96.2455,91.7323,91.1939,84.2927,73.4213,85.4809,85.6286,66.0829,65.3731,62.7069,49.6016,103.542,89.5978,30.0261,0.729452,102.315,92.57,43.6112,108.966,55.028,109.919,52.9425,114.06,117.409,114.087,15.1641,65.4292,6.03081,6.01758,89.6792,24.3609,0.722115,1.6335,47.7078,30.2062,50.8706,16.1417,5.26868,5.26779,3.54144,2.39888,0.911249,8.30305,1.34841,1.52826
12,0.359218,0.387003,0.629134,0.587332,0.247711,0.773934,0.251669,0.239672,0.238715,1.08535,0.755377,0.453161,1.01548,0.982094,1.59768,0.144484,7.83114,11.6161,85.8402,82.8934,79.2744,79.4439,74.2294,63.6837,99.6797,99.8985,56.7104,55.9917,70.5406,38.7593,107.777,88.5464,18.8735,0.176468,92.888,80.8386,25.9519,71.8209,32.1994,87.2821,28.3705,82.833,76.3778,71.5688,7.19977,34.0552,2.38664,2.38306,49.3308,11.5083,0.188578,0.490143,22.3581,13.4489,22.5774,6.90652,2.08008,2.07981,1.30571,0.815285,0.256667,3.4145,0.409676,0.476428
13,0.0558224,0.0619194,0.0793681,0.0799297,0.0710571,0.0891309,0.0726574,0.0766927,0.0772906,0.103858,0.102515,0.0941661,0.154596,0.160708,0.269933,0.120983,2.58235,4.58206,109.314,116.136,118.164,121.8,130.014,125.871,10.9856,11.168,129.226,128.83,8.04938,121.468,31.6557,28.1415,80.8472,0.657687,42.3801,38.2714,103.538,151.698,119.824,62.465,113.644,79.9761,115.407,126.378,38.7167,125.837,13.6718,13.6503,137.985,60.5752,0.844912,2.5881,101.999,71.944,103.946,40.6808,11.9384,11.9379,7.34564,4.47891,1.26514,20.304,2.13807,2.51999
14,24.0859,26.3189,36.3659,36.0697,17.3739,40.7043,17.6223,16.2564,16.1251,45.0247,45.3513,32.6851,61.1025,61.0253,84.077,5.77747,142.82,148.942,82.4017,77.7251,75.7129,73.4268,66.584,64.1878,13.3186,13.3753,57.1264,56.8138,9.6898,42.3011,20.7242,19.0367,25.7867,1.98043,24.893,24.0089,27.9386,42.3075,31.2723,33.6088,30.4798,41.3532,48.4461,48.5168,13.2904,35.3967,6.98897,6.94183,44.1793,17.9993,1.46837,2.6509,29.4052,20.9698,32.2707,12.8089,5.47863,5.47274,4.07024,3.08961,1.51235,7.43595,1.98909,2.17449
15,2.56765,2.87429,3.71179,3.77259,2.95318,4.14,3.01779,3.06593,3.07565,4.63562,4.92562,4.39642,7.60925,7.91518,12.9601,2.67567,54.0876,70.4395,189.851,191.052,192.035,191.045,187.758,187.653,6.55154,6.58878,178.251,177.77,4.23162,142.152,12.1011,10.1581,85.2499,3.2347,15.4041,13.8145,86.03,78.5768,89.6422,24.8796,89.3506,35.9075,60.5009,69.3082,49.4131,93.9314,23.9273,23.833,91.205,66.7059,2.95081,6.77977,91.636,76.6058,97.3179,52.4318,20.2183,20.2108,13.7427,9.37095,3.53293,30.7045,5.21365,5.90544
