real_name,mass_east:687065.4788_north:1463263.947,mass_east:688128.2578_north:1465335.321,mass_east:688645.4866_north:1467976.518,mass_east:688893.3636_north:1468603.156,mass_east:689018.9478_north:1468771.178,mass_east:689566.2899_north:1468142.227,mass_east:689990.5854_north:1465709.388,mass_east:689998.3193_north:1465052.028,mass_east:690192.1061_north:1469885.689,mass_east:690721.4336_north:1467926.473,mass_east:690862.0289_north:1470112.851,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.98_north:1472953.2,mass_east:692320.9146_north:1470354.661,mass_east:692341.83_north:1473492.4,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.89_north:1473096.06,mass_east:692625.6287_north:1471812.114,mass_east:693237.55_north:1473027.71,mass_east:693307.83_north:1472882.83,mass_east:693883.83_north:1473125.85,mass_east:694377.36_north:1467140.62,mass_east:695371.19_north:1473577.85,mass_east:695655.19_north:1473710.47,mass_east:697897.37_north:1474135.59,mass_east:697934.47_north:1474070.69,mass_east:697994.98_north:1474063.94,mass_east:698119.03_north:1473992.05,mass_east:698174.92_north:1473965.36,mass_east:698193.14_north:1473787.02,mass_east:698366.88_north:1479093,mass_east:698388.54_north:1479093.16,mass_east:698414.01_north:1473663.84,mass_east:698421.15_north:1473650.61,mass_east:698637.1944_north:1479927.937,mass_east:699066.57_north:1473349.55,mass_east:699749.19_north:1478820.01,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.11_north:1479002.79,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.78_north:1475734.54,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.18,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.37_north:1474878.73,mass_east:702482.643_north:1470462.43,mass_east:702518.8983_north:1470461.695,mass_east:702524.6997_north:1464702.711,mass_east:702558.411_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.96,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.349_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.109_north:1468505.821,mass_east:703894.7541_north:1465612.15,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652,mass_east:866800_north:1475343,mass_east:869966.27_north:1447717.22
0,2.98602,4.85399,9.60721,11.6041,12.2948,10.8397,5.7534,4.88911,19.3019,11.0668,22.5548,48.3462,50.3694,67.3928,64.9966,29.4527,73.7989,29.7468,27.0625,26.8007,82.2385,73.2796,52.3112,83.2494,81.967,99.0165,9.84056,149.348,159.543,218.433,212.383,208.668,197.636,193.216,181.918,30.384,30.328,167.014,166.131,21.5193,138.302,30.7073,23.9406,100.626,6.58958,26.5224,21.5165,95.8616,81.3346,94.1326,26.5208,80.736,27.0292,37.8284,43.5609,56.8907,69.605,34.8562,34.6827,5.94223,56.2064,62.0421,6.21451,12.8089,61.8442,57.6229,51.8032,46.9327,28.5707,28.5429,22.0553,16.6896,7.42923,34.4986,10.387,11.5251,0.0130263,0.0121428
1,6.30907,9.85844,17.157,19.9737,20.9987,20.0047,12.3187,10.6965,31.4903,21.8375,37.0762,63.6725,67.1807,82.8778,82.0593,49.9246,88.9422,50.4243,47.6072,47.332,95.3246,93.6729,75.9565,111.106,110.915,135.381,21.2909,208.279,222.838,199.952,197.387,194.182,187.382,184.541,180.793,26.6696,26.5779,170.147,169.618,18.8403,144.95,23.5191,18.1965,99.958,9.14044,19.0399,15.3708,86.363,59.1208,80.7485,17.8729,66.1919,17.6401,24.5895,28.6731,52.4287,53.2278,34.5611,34.3572,7.3338,39.4446,53.9863,7.55917,14.1476,48.6755,47.9562,39.3992,41.3466,27.6939,27.6606,22.0049,17.2016,8.34852,31.8979,11.1883,12.2667,0.00910099,0.00899257
3,5.15386,8.04614,13.9753,16.2777,17.1134,16.288,10.1553,8.85053,25.6243,17.866,30.1054,52.5285,55.1781,69.2832,67.9413,40.5695,74.9839,40.9831,38.8595,38.6571,82.5306,76.7579,61.1358,88.3019,87.6429,104.64,18.7692,174.244,201.221,278.278,268.943,261.805,243.494,236.099,221.52,51.1446,51.0288,195.997,194.659,36.0044,142.853,46.8745,36.4381,81.8506,8.4358,37.575,30.5093,71.5128,72.7044,70.7871,33.7153,58.0149,31.4299,37.7156,41.1201,37.7948,51.0268,24.8913,24.6874,6.32858,45.2345,40.0895,6.45647,11.1674,41.8893,36.7229,34.9117,28.7411,18.7653,18.7349,15.2224,12.3525,6.60526,21.1218,8.44827,9.13029,0.00616392,0.00561713
4,6.63148,10.7441,21.3304,25.5539,26.9718,23.6046,12.0975,10.16,40.6256,23.2837,46.3666,89.6672,92.4928,116.133,112.839,56.5983,124.088,57.0049,51.8005,51.2744,133.524,122.524,92.7401,130.903,128.666,142.464,16.2488,194.424,215.102,220.052,216.616,215.258,209.083,206.324,196.007,22.7481,22.6495,182.958,181.995,15.4953,145.593,19.8788,14.9789,86.8998,5.96307,16.0391,12.7281,75.1988,58.8971,71.8968,15.3768,57.1194,15.3801,22.1595,26.0822,39.963,46.2427,24.7614,24.5927,4.84109,35.167,41.9649,5.00196,9.58823,39.6938,37.1443,31.5142,30.2805,19.2735,19.2474,15.1233,11.7251,5.57785,22.3833,7.53753,8.28297,0.00650407,0.00631735
5,5.25418,8.30605,15.3618,18.0695,18.9907,17.2137,9.77243,8.3808,27.8455,17.7448,31.8692,56.0211,58.0811,70.8579,69.5265,40.4307,75.329,40.7823,38.1312,37.8699,80.4056,76.3773,61.4888,85.3342,84.8637,99.4871,16.2665,166.627,184.672,200.991,198.722,196.549,190.922,188.437,183.616,26.853,26.8529,172.993,172.398,18.3532,143.741,31.5436,24.1574,93.9607,9.35595,28.2956,22.6941,78.1201,69.7971,74.0169,28.8543,60.2475,28.6359,35.7835,38.96,46.8438,50.4215,32.721,32.4698,7.77542,42.6676,46.6458,8.02154,14.6383,43.2465,40.8375,35.1489,34.7058,24.9975,24.9576,20.5852,16.7639,8.73573,27.2114,11.4007,12.3704,0.00770814,0.00739701
6,6.70671,10.3704,18.0281,20.9383,21.9735,20.6771,12.6045,10.9413,32.2955,22.0794,37.4954,64.2093,67.2705,82.6946,81.4975,48.8986,88.5064,49.3401,46.4289,46.1414,95.0391,91.3697,73.6588,104.456,103.768,122.044,20.2758,175.244,187.38,191.929,187.359,184.074,175.613,172.274,165.271,29.3361,29.2455,154.06,153.438,20.3079,130.059,26.5281,20.3012,91.4873,8.32966,21.4813,17.243,82.9899,64.6656,79.8623,20.2855,66.839,20.0577,27.8644,32.3294,48.8886,55.6935,31.0239,30.8413,6.6679,43.0607,51.9848,6.86197,12.6197,49.7079,47.2019,40.7145,39.0944,24.8981,24.8695,19.6437,15.3236,7.53142,29.231,10.0224,10.9702,0.0109914,0.0106345
7,6.28864,10.0031,18.6848,22.0362,23.1781,20.9424,11.6976,9.99087,34.1575,21.4215,39.0544,69.3843,71.838,87.7186,85.981,48.7174,93.1522,49.0989,45.5932,45.2427,99.1587,93.9763,74.7084,103.121,102.042,115.993,18.09,163.458,177.116,200.513,194.552,190.207,180.189,176.463,170.447,22.5371,22.4607,159.567,159.055,15.1965,136.65,20.0105,15.0122,97.0874,9.22141,15.7718,12.4805,78.8751,50.6534,71.7039,14.5554,58.0693,14.157,19.7499,23.1451,51.8919,45.0759,36.7124,36.4607,7.87718,32.2139,50.0161,8.17285,15.6771,41.4653,42.3852,32.4538,38.3574,28.6282,28.5861,23.4258,18.7711,9.25938,31.1245,12.4162,13.5797,0.00692423,0.00719196
8,7.32031,11.1777,18.2144,20.7781,21.7248,21.3919,14.3733,12.6748,30.965,23.9889,35.8014,52.4557,55.4015,65.8502,65.9458,47.0213,70.2348,47.4517,45.9317,45.7893,74.1566,76.3808,65.2627,94.7038,95.4864,120.273,26.3425,197.64,215.826,238.706,233.926,230.109,219.902,215.61,205.991,26.8497,26.8214,189.034,188.036,19.6747,150.397,26.9319,21.5582,102.283,11.795,23.0978,19.1545,113.781,82.1641,116.105,22.3991,100.197,22.4135,30.8271,36.3392,54.4521,82.0968,31.6149,31.4585,8.75499,55.6538,68.4473,8.90516,14.9564,73.926,66.4997,58.3139,47.4922,26.2982,26.2749,21.1547,16.9914,9.06898,31.9877,11.5971,12.5551,0.0120372,0.011405
10,6.21086,9.5338,15.9016,18.3372,19.2406,18.7227,12.2603,10.7835,28.5588,21.0314,33.7616,55.4451,58.5073,70.891,70.3148,46.6739,75.6613,47.1838,45.3037,45.1302,80.9386,79.3395,67.2677,92.4925,92.7315,110.101,23.8559,176.419,196.118,235.502,233.475,230.172,222.971,219.683,216.019,33.8046,33.7155,201.993,201.322,24.092,164.895,30.8374,24.0255,108.407,11.8208,25.0743,20.3478,90.6315,67.0578,84.8693,23.224,69.7383,22.457,29.7294,33.9587,56.2199,56.8708,38.7982,38.5169,9.30676,43.8396,56.331,9.55174,17.1136,50.8344,49.4053,40.9995,42.54,30.0203,29.9759,24.4596,19.7079,10.1936,33.2627,13.2907,14.4392,0.00895526,0.00878307
11,5.2201,8.47278,16.9757,20.3787,21.5038,18.6054,9.51696,8.01794,32.1655,18.2186,36.4565,70.7646,72.8564,91.3777,88.8826,44.1885,97.5377,44.513,40.4856,40.0827,104.413,97.0503,73.0675,106.157,104.591,120.578,13.9515,168.413,179.495,220.804,216.359,213.54,204.839,201.149,191.895,23.9978,23.9653,177.708,176.862,16.3157,145.834,24.6218,18.7448,102.377,8.10634,20.7205,16.5576,90.3891,67.5659,85.595,20.2931,71.2986,20.3834,28.6964,33.3551,56.2825,58.4736,37.1201,36.907,7.201,44.5918,57.8448,7.5053,14.858,52.801,51.445,42.8421,44.1552,29.8241,29.7884,23.7628,18.5566,8.76285,34.1551,11.97,13.1734,0.0101009,0.0099728
