time,elapsed_seconds,message
2023-01-07 08:34:42,6.4914e-05,PEST++ performance logger started
2023-01-07 08:34:42,0.000392314,starting to process control file
2023-01-07 08:34:42,0.0284123,finished processing control file
2023-01-07 08:34:42,0.0078569,initializing
2023-01-07 08:34:42,0.00021281,using glm algorithm
2023-01-07 08:34:42,5.2211e-05,using REDSVD for truncated svd solve
2023-01-07 08:34:42,7.6701e-05,maxsing: 10000000
2023-01-07 08:34:42,5.8382e-05,eigthresh:  1e-06
2023-01-07 08:34:42,6.5765e-05,initializing localizer
2023-01-07 08:34:42,5.0431e-05,not using localization
2023-01-07 08:34:42,5.8062e-05,using lambda multipliers: 
2023-01-07 08:34:42,5.4678e-05,using lambda scaling factors: 
2023-01-07 08:34:42,5.1477e-05,acceptable phi factor:  1.05
2023-01-07 08:34:42,6.1973e-05,lambda increase factor:  10
2023-01-07 08:34:42,5.2183e-05,lambda decrease factor:  0.75
2023-01-07 08:34:42,4.7499e-05,max run fail:  1
2023-01-07 08:34:42,5.4594e-05,sanity_check warnings
2023-01-07 08:34:42,4.728e-05,noptmax > 3, this is a lot of iterations for an ensemble method, please consider using fewer iterations for better outcomes
2023-01-07 08:34:42,4.4388e-05,continuing initialization...
2023-01-07 08:34:42,6.1954e-05,initializing prior parameter covariance matrix
2023-01-07 08:34:42,2.8233e-05,initializing parcov
2023-01-07 08:34:42,0.000572592,parcov loaded  from parameter bounds, using par_sigma_range 6
2023-01-07 08:34:42,0.000244578,initializing observation noise covariance matrix
2023-01-07 08:34:42,0.00114087,obscov loaded  from observation weights
2023-01-07 08:34:42,0.00036271,using reg_factor:  0
2023-01-07 08:34:42,4.6838e-05,drawing parameter realizations:  1000
2023-01-07 08:34:42,0.000668324,parameters not grouped by parameter groups, reordering par ensemble
2023-01-07 08:34:42,0.000618682,making standard normal draws
2023-01-07 08:34:42,0.00904648,scaling by std
2023-01-07 08:34:42,8.7538e-05,checking realization for invalid values
2023-01-07 08:34:42,0.000537983,resizing reals matrix
2023-01-07 08:34:42,0.000278608,filling reals matrix and adding mean values
2023-01-07 08:34:42,0.00100233,not using prior parameter covariance matrix scaling
2023-01-07 08:34:42,4.3092e-05,drawing observation noise realizations:  1000
2023-01-07 08:34:42,0.000607269,making standard normal draws
2023-01-07 08:34:42,0.0118645,scaling by std
2023-01-07 08:34:42,0.000122971,checking realization for invalid values
2023-01-07 08:34:42,0.000604773,resizing reals matrix
2023-01-07 08:34:42,0.000535672,filling reals matrix and adding mean values
2023-01-07 08:34:42,0.00357805,adding 'base' parameter values to ensemble
2023-01-07 08:34:42,0.00196246,adding 'base' observation values to ensemble
2023-01-07 08:34:42,0.00384977,checking for denormal values in pe
2023-01-07 08:34:43,0.368417,saved initial parameter ensemble to  pest_run.0.par.csv
2023-01-07 08:34:43,3.4325e-05,checking for denormal values in obs + noise ensemble
2023-01-07 08:34:43,0.428767,saved obs+noise observation ensemble (obsval + noise realizations) to  pest_run.obs+noise.csv
2023-01-07 08:34:43,6.1476e-05,setting weights ensemble from control file weights
2023-01-07 08:34:43,0.000887401,checking for denormal values in weights ensemble
2023-01-07 08:34:43,0.000780202,using subset in lambda testing, number of realizations used in subset testing:  4
2023-01-07 08:34:43,4.0145e-05,subset how:  RANDOM
2023-01-07 08:34:43,0.00171283,centering on ensemble mean vector
2023-01-07 08:34:43,3.6662e-05,running initial ensemble
2023-01-07 08:34:43,2.7167e-05,running initial ensemble of size 1000
2023-01-07 08:34:43,4.4323e-05,queuing 1000 runs
2023-01-07 08:34:43,0.122687,making runs
2023-01-07 08:38:40,236.745,processing runs
2023-01-07 08:38:41,0.572283,saved initial obs ensemble to pest_run.0.obs.csv
2023-01-07 08:38:41,0.0137065,calc pre-drop phi
2023-01-07 08:38:41,0.0228562,pre-drop initial phi summary
2023-01-07 08:38:41,0.00387025,checking for prior-data conflict...
2023-01-07 08:38:41,0.0101314,dropping realizations as bad:  20
2023-01-07 08:38:41,0.000272919,dropping par:obs realizations: 24 : 24 , 53 : 53 , 71 : 71 , 153 : 153 , 174 : 174 , 208 : 208 , 342 : 342 , 343 : 343 , 363 : 363 , 396 : 396 , 421 : 421 , 506 : 506 , 629 : 629 , 636 : 636 , 713 : 713 , 732 : 732 , 800 : 800 , 842 : 842 , 975 : 975 , 981 : 981 , 
2023-01-07 08:38:41,0.00425933,calc initial phi
2023-01-07 08:38:41,0.0171103,initial phi summary
2023-01-07 08:38:41,0.0130396,current lambda: 10
2023-01-07 08:38:41,3.9019e-05,initialization complete
2023-01-07 08:38:41,0.000376758,starting solve for iteration: 1
2023-01-07 08:38:41,1.7917e-05,starting solve for iteration: 1
2023-01-07 08:38:41,4.6952e-05,current lambda:  10
2023-01-07 08:38:41,1.8135e-05,reordering variables in pe
