real_name,mass_east:687065.4788_north:1463263.947,mass_east:688128.2578_north:1465335.321,mass_east:688645.4866_north:1467976.518,mass_east:688893.3636_north:1468603.156,mass_east:689018.9478_north:1468771.178,mass_east:689566.2899_north:1468142.227,mass_east:689990.5854_north:1465709.388,mass_east:689998.3193_north:1465052.028,mass_east:690192.1061_north:1469885.689,mass_east:690721.4336_north:1467926.473,mass_east:690862.0289_north:1470112.851,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.98_north:1472953.2,mass_east:692320.9146_north:1470354.661,mass_east:692341.83_north:1473492.4,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.89_north:1473096.06,mass_east:692625.6287_north:1471812.114,mass_east:693237.55_north:1473027.71,mass_east:693307.83_north:1472882.83,mass_east:693883.83_north:1473125.85,mass_east:694377.36_north:1467140.62,mass_east:695371.19_north:1473577.85,mass_east:695655.19_north:1473710.47,mass_east:697897.37_north:1474135.59,mass_east:697934.47_north:1474070.69,mass_east:697994.98_north:1474063.94,mass_east:698119.03_north:1473992.05,mass_east:698174.92_north:1473965.36,mass_east:698193.14_north:1473787.02,mass_east:698366.88_north:1479093,mass_east:698388.54_north:1479093.16,mass_east:698414.01_north:1473663.84,mass_east:698421.15_north:1473650.61,mass_east:698637.1944_north:1479927.937,mass_east:699066.57_north:1473349.55,mass_east:699749.19_north:1478820.01,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.11_north:1479002.79,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.78_north:1475734.54,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.18,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.37_north:1474878.73,mass_east:702482.643_north:1470462.43,mass_east:702518.8983_north:1470461.695,mass_east:702524.6997_north:1464702.711,mass_east:702558.411_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702854.5674_north:1467466.96,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.349_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.109_north:1468505.821,mass_east:703894.7541_north:1465612.15,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652,mass_east:866800_north:1475343,mass_east:869966.27_north:1447717.22
0,4.4941,6.92223,13.808,23.3191,20.3593,18.2922,7.1735,12.0984,30.1741,15.8989,38.4856,54.9995,58.3806,61.8301,79.2875,39.0178,97.0058,37.0829,27.551,28.5282,62.8155,196.028,55.7966,95.2941,87.5848,125.778,156.803,183.509,175.447,250.977,177.886,182.803,112.66,174.106,301.463,44.6392,46.6322,149.379,134.29,16.2808,107.582,23.0037,23.5113,74.7669,7.71191,15.3743,21.7495,97.459,81.1937,103.655,32.4612,84.3344,38.0353,45.1327,28.1263,59.9907,49.4682,34.584,35.9695,4.62609,59.8866,52.617,9.64986,17.3689,53.0612,46.7077,45.6915,44.4462,39.074,38.4752,26.5904,29.6069,24.4279,36.8114,15.3575,18.2169,0.0689271,0.00868687
1,4.65236,7.77244,14.9732,23.9981,19.2449,19.7598,7.30542,12.7324,29.5669,13.0355,37.3476,57.6387,61.2598,63.4372,77.0068,37.8775,93.7084,36.7065,26.4814,26.7446,59.1134,166.547,62.5756,92.1787,82.4211,131.625,146.434,160.777,189.21,249.548,168.331,182.589,119.771,181.6,298.549,43.0031,45.49,147.784,129.024,16.186,112.787,22.6718,22.5211,71.7937,7.61049,14.8937,21.0388,84.0137,82.1472,103.305,30.8141,96.0479,37.0308,50.144,27.7838,59.5385,44.9299,34.8831,35.0231,4.69881,61.9929,53.9215,10.9956,16.9447,53.3035,48.0331,46.1762,44.4369,38.1074,35.988,25.5607,29.6761,23.7296,39.7679,15.204,18.2081,0.246608,0
2,4.7383,7.52429,15.8003,22.2449,19.5322,19.4948,7.17293,13.0058,32.5518,15.4808,38.8924,56.9963,60.7563,60.3832,70.1959,37.1522,107.257,40.5683,26.0916,26.0821,61.5251,203.704,61.4558,91.9325,87.029,119.574,147.747,193.175,184.087,254.237,162.22,187.116,117.139,178.653,295.663,44.516,46.9647,154.102,124.283,16.7354,116.733,22.7697,22.7814,75.9412,7.10294,14.0633,22.8145,95.972,84.386,102.15,30.2217,95.756,34.6144,48.9836,27.3257,62.404,48.3753,32.5869,33.8103,4.56729,67.4015,54.6618,10.1083,17.5972,53.8458,48.9294,46.3078,43.445,40.3115,38.1886,24.3402,31.2439,21.0008,38.88,14.0859,17.6831,0,0.0328525
3,4.40329,7.92864,15.4125,24.2794,19.8998,20.794,7.57473,11.3844,31.3634,15.2386,36.4573,54.6603,65.6665,61.5183,73.6526,36.5185,99.0932,36.6645,25.2882,28.4365,60.2776,190.679,60.0274,95.9407,83.9021,122.157,149.358,171.175,182.717,307.112,161.354,182.49,119.414,188.991,283.957,43.962,47.2934,144.661,117.297,15.5299,110.326,21.0242,21.9119,77.9501,7.00996,14.6386,22.0699,92.6011,85.6817,94.5162,30.1289,96.1473,39.4451,45.686,28.9841,64.5574,45.4432,35.141,35.4917,4.74521,60.3078,50.543,10.7706,19.3208,58.9427,49.1802,44.0583,45.2247,33.4454,40.4761,26.2505,27.5451,21.1275,38.4904,14.6491,18.4641,0,0.182128
4,4.78041,7.49031,15.8905,23.4639,18.7239,20.7428,8.02251,12.7468,31.8704,14.964,38.2297,55.4091,54.6738,62.709,81.3782,36.8552,88.3142,38.8874,27.6089,27.7453,57.905,190.239,58.7277,96.2169,89.6168,110.427,156.49,178.131,181.998,272.416,162.037,187.494,110.665,186.713,292.226,44.1059,46.2514,148.76,125.221,15.6375,103.015,23.4816,20.0129,72.0238,7.54586,15.6236,25.2054,98.565,87.0742,108.606,31.7754,98.7546,37.8913,46.9373,31.2352,57.4682,45.3998,35.2689,35.4149,4.43047,65.6351,50.3302,10.9032,15.6932,52.7014,49.7352,43.1964,45.5938,38.304,38.4718,24.5329,30.5323,21.8765,34.3506,14.1373,18.3409,0,0
5,4.16408,8.27605,15.7883,23.4637,20.4874,19.9796,8.42886,12.6098,29.51,15.1257,37.7593,47.5117,55.6597,54.8837,69.6233,38.2995,101.47,36.9373,24.2553,26.2454,54.9797,183.568,54.2033,90.3844,86.7527,128.101,152.03,182.612,187.199,255.595,178.205,201.312,122.341,177.714,284.57,46.0083,41.6936,150.523,122.204,16.0868,122.203,20.2898,21.3463,81.1192,7.6114,14.9215,21.9823,83.354,80.2339,93.3761,28.6497,98.6638,37.193,42.9577,27.2829,59.0268,39.9159,35.7938,32.6512,4.48296,64.5082,53.0905,9.62822,16.8393,55.5961,44.6388,45.9111,43.7597,36.8878,34.7935,25.3419,32.2008,21.5337,40.0296,15.251,17.6725,0,0
6,4.62137,7.27637,15.6259,22.777,20.0949,18.5881,8.0147,12.3274,31.3761,14.8397,35.5798,49.484,57.6653,62.0489,76.772,35.1425,96.116,35.8119,26.9587,27.2897,61.4773,208.484,61.2188,82.4809,97.0245,123.419,155.318,170.504,188.952,265.25,178.368,195.304,125.775,172.36,261.199,44.7419,44.2199,134.896,127.463,16.1914,99.6157,21.8009,22.3379,77.4025,7.4281,15.0578,25.7669,92.7346,77.0524,103.86,29.7044,99.1065,36.2849,42.8362,29.5973,60.2291,44.0475,34.2,34.2606,4.66374,63.7619,49.9521,10.941,18.7527,50.6056,44.1046,45.5105,46.4548,34.9325,40.7097,24.5762,26.579,20.2473,36.1404,15.1409,17.623,0,0
7,4.69927,7.38156,15.7496,22.082,21.4183,19.6156,7.71035,11.6907,31.0534,15.3716,36.9193,52.2798,56.9806,55.6186,71.4062,35.5153,98.8722,40.2865,28.6615,22.5556,55.713,178.833,57.8514,91.631,86.3359,121.281,136.151,193.596,182.26,274.363,170.517,205.796,113.305,188.151,301.181,46.4855,45.3424,155.091,123.864,17.368,110.896,21.9108,21.3583,76.2811,8.13843,15.4843,23.7886,89.3914,78.9133,96.5129,28.9189,102.093,35.35,46.2889,33.0186,64.0802,43.9216,35.1872,33.9738,4.59564,68.8221,53.5379,10.125,16.8384,54.3534,44.2904,45.7503,40.8016,40.708,38.2095,25.3331,29.3915,23.7365,36.7839,14.1797,18.2633,0,0.0147027
8,4.47938,7.24831,16.282,22.461,19.8435,19.7644,7.62901,12.6407,30.1629,15.1004,33.6153,56.7309,60.2233,56.7627,76.3629,38.2325,96.0319,38.7092,28.3501,24.7945,61.7926,191.688,57.1929,94.3143,89.4957,122.176,149.919,163.695,159.18,289.957,165.453,188.365,129.442,181.165,288.983,49.9631,41.8918,147.349,127.701,17.0891,121.975,21.9655,22.3766,73.4607,6.63428,14.3517,23.1963,88.0241,85.9717,99.3035,32.294,98.8512,35.8303,46.6682,29.0557,59.1274,41.636,33.2859,31.1808,4.40425,56.8032,51.6431,10.0091,17.7221,53.8304,46.2403,43.871,44.6949,38.3659,40.2735,24.9385,31.4605,22.3485,36.7158,14.5263,18.4457,0,0.0996324
9,4.5268,7.42195,13.5837,23.0763,21.4801,21.5753,6.79303,13.136,28.5779,15.0412,38.0448,56.9616,58.6024,58.0256,74.8098,37.9583,106.407,35.4716,23.5111,25.073,57.6347,202.139,58.785,83.4768,89.2992,128.859,140.922,167.029,175.08,281.876,189.391,190.091,119.773,180.453,321.123,46.6773,48.2801,143.876,130.681,17.2921,102.153,23.1295,21.749,73.3386,7.86914,15.4526,21.989,91.0136,73.2546,98.7052,32.2884,93.5013,39.0107,42.4166,30.2011,57.287,41.806,34.9892,37.5609,4.49056,57.882,54.9554,9.83456,18.502,49.509,47.0863,45.0576,48.6164,39.3996,38.13,25.4716,30.6241,24.2873,39.3586,15.9285,18.7887,0,0
