parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,height
eruption_mass,log,factor,31622776601.683792,10000000000.0,100000000000.0,eruption_mass,1.0,0.0,1,
median_grainsize,none,relative,1.0,0.0,4.0,median_grainsize,1.0,0.0,1,
plume_height,log,factor,13856.406460551027,12000.0,16000.0,plume_height,1.0,0.0,1,
std_grainsize,log,factor,2.121320343559643,1.5,3.0,std_grainsize,1.0,0.0,1,
wind0_height:108.0_dir,fixed,relative,6.8,-93.2,106.8,wind0,1.0,0.0,1,108.0
wind0_height:108.0_vel,fixed,factor,245.7,122.85,368.54999999999995,wind0,1.0,0.0,1,108.0
wind0_height:10970.0_dir,fixed,relative,14.9,-85.1,114.9,wind0,1.0,0.0,1,10970.0
wind0_height:10970.0_vel,fixed,factor,49.4,24.7,74.1,wind0,1.0,0.0,1,10970.0
wind0_height:12450.0_dir,fixed,relative,16.6,-83.4,116.6,wind0,1.0,0.0,1,12450.0
wind0_height:12450.0_vel,fixed,factor,45.7,22.85,68.55000000000001,wind0,1.0,0.0,1,12450.0
wind0_height:14251.0_dir,fixed,relative,13.9,-86.1,113.9,wind0,1.0,0.0,1,14251.0
wind0_height:14251.0_vel,fixed,factor,70.3,35.15,105.44999999999999,wind0,1.0,0.0,1,14251.0
wind0_height:1519.0_dir,fixed,relative,2.5,-97.5,102.5,wind0,1.0,0.0,1,1519.0
wind0_height:1519.0_vel,fixed,factor,296.6,148.3,444.90000000000003,wind0,1.0,0.0,1,1519.0
wind0_height:16592.0_dir,fixed,relative,10.1,-89.9,110.1,wind0,1.0,0.0,1,16592.0
wind0_height:16592.0_vel,fixed,factor,118.3,59.15,177.45,wind0,1.0,0.0,1,16592.0
wind0_height:18615.0_dir,fixed,relative,7.0,-93.0,107.0,wind0,1.0,0.0,1,18615.0
wind0_height:18615.0_vel,fixed,factor,80.9,40.45,121.35000000000001,wind0,1.0,0.0,1,18615.0
wind0_height:20606.0_dir,fixed,relative,10.2,-89.8,110.2,wind0,1.0,0.0,1,20606.0
wind0_height:20606.0_vel,fixed,factor,86.6,43.3,129.89999999999998,wind0,1.0,0.0,1,20606.0
wind0_height:23792.0_dir,fixed,relative,0.9,-99.1,100.9,wind0,1.0,0.0,1,23792.0
wind0_height:23792.0_vel,fixed,factor,54.5,27.25,81.75,wind0,1.0,0.0,1,23792.0
wind0_height:26400.0_dir,fixed,relative,15.9,-84.1,115.9,wind0,1.0,0.0,1,26400.0
wind0_height:26400.0_vel,fixed,factor,272.5,136.25,408.75,wind0,1.0,0.0,1,26400.0
wind0_height:31031.0_dir,fixed,relative,32.4,-67.6,132.4,wind0,1.0,0.0,1,31031.0
wind0_height:31031.0_vel,fixed,factor,267.7,133.85,401.54999999999995,wind0,1.0,0.0,1,31031.0
wind0_height:3157.0_dir,fixed,relative,2.7,-97.3,102.7,wind0,1.0,0.0,1,3157.0
wind0_height:3157.0_vel,fixed,factor,309.0,154.5,463.5,wind0,1.0,0.0,1,3157.0
wind0_height:4424.0_dir,fixed,relative,2.1,-97.9,102.1,wind0,1.0,0.0,1,4424.0
wind0_height:4424.0_vel,fixed,factor,309.1,154.55,463.65000000000003,wind0,1.0,0.0,1,4424.0
wind0_height:5873.0_dir,fixed,relative,1.7,-98.3,101.7,wind0,1.0,0.0,1,5873.0
