real_name,mass_east:228716.0000_north:1351748.00,mass_east:230961.0000_north:1604587.00,mass_east:282095.0000_north:1328043.00,mass_east:284901.0000_north:1632653.00,mass_east:671948.0000_north:1468335.00,mass_east:672867.0000_north:1486992.00,mass_east:673346.0000_north:1454749.00,mass_east:678652.0000_north:1507746.00,mass_east:680222.0000_north:1444151.00,mass_east:682167.0000_north:1406593.00,mass_east:687065.4788_north:1463263.947,mass_east:688128.2578_north:1465335.321,mass_east:688645.4866_north:1467976.518,mass_east:688893.3636_north:1468603.156,mass_east:689018.9478_north:1468771.178,mass_east:689566.2899_north:1468142.227,mass_east:689990.5854_north:1465709.388,mass_east:689998.3193_north:1465052.028,mass_east:690192.1061_north:1469885.689,mass_east:690700.0000_north:1455649.00,mass_east:690721.4336_north:1467926.473,mass_east:690829.0000_north:1436753.00,mass_east:690862.0289_north:1470112.851,mass_east:691035.0000_north:1518113.00,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.98_north:1472953.2,mass_east:692320.9146_north:1470354.661,mass_east:692341.83_north:1473492.4,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.89_north:1473096.06,mass_east:692625.6287_north:1471812.114,mass_east:693237.55_north:1473027.71,mass_east:693307.83_north:1472882.83,mass_east:693883.83_north:1473125.85,mass_east:694377.36_north:1467140.62,mass_east:695371.19_north:1473577.85,mass_east:695655.19_north:1473710.47,mass_east:696191.0000_north:1452089.00,mass_east:697158.0000_north:1424023.00,mass_east:697897.37_north:1474135.59,mass_east:697934.47_north:1474070.69,mass_east:697994.98_north:1474063.94,mass_east:698119.03_north:1473992.05,mass_east:698174.92_north:1473965.36,mass_east:698193.14_north:1473787.02,mass_east:698366.88_north:1479093,mass_east:698388.54_north:1479093.16,mass_east:698414.01_north:1473663.84,mass_east:698421.15_north:1473650.61,mass_east:698637.1944_north:1479927.937,mass_east:699066.57_north:1473349.55,mass_east:699749.19_north:1478820.01,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.11_north:1479002.79,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.78_north:1475734.54,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.18,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.37_north:1474878.73,mass_east:702482.643_north:1470462.43,mass_east:702518.8983_north:1470461.695,mass_east:702524.6997_north:1464702.711,mass_east:702558.411_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702823.0000_north:1433739.00,mass_east:702854.5674_north:1467466.96,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.349_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.109_north:1468505.821,mass_east:703894.7541_north:1465612.15,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652,mass_east:707362.0000_north:1529879.00,mass_east:718127.0000_north:1533707.00,mass_east:721921.0000_north:1555453.00,mass_east:725423.0000_north:1408581.00,mass_east:750535.0000_north:1400531.00,mass_east:761845.0000_north:1557976.00,mass_east:819866.0000_north:1573265.00,mass_east:822988.0000_north:1379186.00,mass_east:866800_north:1475343,mass_east:869966.27_north:1447717.22
0,2.85229e-05,1.90512e-05,4.15297e-05,2.4431e-05,0.47547,0.130586,0.284796,0.0361846,0.0672535,0.00659156,2.74914,5.22515,12.5639,15.4713,16.474,14.2449,5.71133,4.52052,26.7579,0.448754,13.3597,0.0405729,31.928,0.0247862,54.9887,60.1232,63.759,67.5249,40.7471,64.3923,41.0691,35.4962,34.9281,61.5322,79.2014,75.9223,102.812,106.213,127.433,9.10989,178.501,188.093,0.312405,0.0182162,211.708,207.803,201.119,187.268,181.286,175.464,28.149,28.1249,154.114,153.236,19.564,114.97,28.9655,22.7886,79.615,6.60843,25.0032,20.4816,75.3239,63.6869,73.8036,24.7919,66.8655,25.205,34.2815,38.882,54.1502,59.8766,36.6353,36.547,6.06106,49.5917,58.5141,6.39991,0.0420655,14.2137,57.3982,56.5849,51.402,50.4131,32.9681,32.9588,25.8603,19.4761,8.08532,40.3891,11.8314,13.2732,0.014278,0.0119185,0.00488011,0.0108121,0.00858231,0.00399091,0.00190948,0.0042063,0.198531,0.0874938
2,3.15216e-05,2.15523e-05,4.54986e-05,2.75579e-05,0.490541,0.136752,0.28534,0.0381737,0.0788997,0.00787159,2.95366,5.50875,12.6548,15.484,16.4741,14.5415,6.29364,5.06013,26.724,0.545097,14.1676,0.0488769,32.0467,0.0259461,55.216,60.2934,64.8275,68.4055,42.0176,65.6517,42.3917,37.2728,36.7525,62.6221,80.3349,76.2076,104.273,107.62,129.804,10.8243,180.89,187.365,0.369784,0.0215835,218.003,217.685,213.159,203.599,198.591,195.579,26.6641,26.635,172.92,171.979,18.5697,124.466,26.9464,21.1731,81.0137,7.32038,23.0549,18.8703,73.6074,59.1193,71.0812,22.6746,64.1693,22.9917,31.3948,35.7253,54.5383,56.8637,37.8605,37.7723,6.55131,46.3481,58.0502,6.90211,0.0489087,15.0956,55.5607,55.9515,50.0783,51.1421,34.3807,34.3738,27.1831,20.5903,8.65069,41.9068,12.6068,14.1248,0.0147094,0.0121057,0.00500035,0.0121779,0.00966001,0.00393171,0.00194621,0.00507649,0.143631,0.0726401
6,4.08743e-05,2.89456e-05,5.8316e-05,3.70857e-05,0.581216,0.181447,0.301827,0.0494948,0.0793101,0.00807996,2.95562,5.50429,12.7893,15.701,16.7058,14.5106,6.17682,4.95504,26.9454,0.499996,13.8855,0.0461472,31.9619,0.031379,57.0331,61.8583,67.7872,70.9369,40.6784,69.0179,41.0063,35.8494,35.3276,66.6796,82.7044,75.2098,105.03,107.61,128.274,9.90142,170.428,175.279,0.319572,0.020725,189.451,192.644,190.221,187.029,184.355,189.055,26.6005,26.5582,171.356,170.741,18.5872,122.825,26.4413,20.8754,79.4729,6.35564,22.8284,18.7862,73.4474,59.7313,71.5759,22.8522,66.1899,23.5941,32.8258,37.496,55.0033,59.8295,36.7734,36.7049,5.7588,49.2363,60.0398,6.08547,0.0445873,13.7769,59.0887,59.0283,54.0731,53.0505,33.7685,33.7658,26.1526,19.3805,7.77732,42.4053,11.5477,13.0198,0.0168809,0.0137057,0.00576926,0.0118462,0.00970005,0.00468531,0.00251067,0.0054841,0.224922,0.105164
7,3.13286e-05,2.07796e-05,4.5212e-05,2.62855e-05,0.517902,0.125446,0.280357,0.0325287,0.0771113,0.00764168,2.90959,5.43924,12.6251,15.5135,16.522,14.4693,6.19442,4.97148,26.961,0.529369,14.0216,0.0472227,32.2738,0.0224929,57.7137,62.8683,68.5457,72.1243,41.987,69.3877,42.3525,37.0786,36.5443,65.4333,84.615,77.861,109.052,112.125,134.748,10.3721,182.599,187.943,0.362368,0.0209925,212.414,208.908,203.088,190.185,184.428,178.031,24.5896,24.5799,156.815,155.909,17.1517,116.749,26.0247,20.5261,80.5683,7.30633,22.7123,18.6267,74.8858,60.6532,72.6574,22.7523,65.6717,23.294,32.0634,36.5458,55.4551,58.2027,38.5588,38.4728,6.68516,47.4412,59.0444,7.05356,0.0483569,15.4532,56.5477,56.7655,50.6713,51.7936,35.0406,35.033,27.7803,21.0976,8.90092,42.5129,12.9595,14.5117,0.0133736,0.0113413,0.00467269,0.0123207,0.00988802,0.00391037,0.00191715,0.00512293,0.13761,0.0776133
10,3.50821e-05,2.38784e-05,5.02163e-05,3.02485e-05,0.541109,0.138302,0.268903,0.0372,0.0783983,0.00819092,2.77673,5.16971,11.9836,14.759,15.7242,13.689,5.94637,4.79893,25.6615,0.52949,13.2962,0.0490807,30.5809,0.0250233,56.3588,61.1367,67.8277,70.9591,39.4653,68.9499,39.8063,34.9239,34.4339,65.4286,83.074,73.9092,106.028,108.495,130.414,10.2592,177.038,183.28,0.361202,0.0219998,217.257,216.146,211.1,200.194,194.739,190.613,24.5412,24.518,167.532,166.573,17.0699,120.682,25.2138,19.8288,80.0874,7.00735,21.8292,17.8859,74.0965,59.1726,71.8617,21.8569,65.4905,22.504,31.3991,35.9577,55.0218,58.3747,37.5158,37.4381,6.33412,47.4506,59.3335,6.67586,0.0489077,14.652,57.4237,57.7087,52.0484,52.3513,34.2774,34.2727,26.86,20.1763,8.39276,42.3967,12.2613,13.7567,0.0143058,0.011891,0.00495836,0.0125542,0.00996969,0.00409768,0.00215023,0.00531271,0.168537,0.100413
12,4.45555e-05,2.98148e-05,6.38066e-05,3.76441e-05,0.537317,0.145379,0.307487,0.0415211,0.0831842,0.00876159,2.91002,5.40058,12.516,15.3489,16.3307,14.2412,6.06171,4.86835,26.4289,0.526063,13.6539,0.0502363,31.531,0.028328,55.3988,60.4901,65.0338,68.7537,40.7067,65.6911,41.0528,35.8341,35.3059,62.188,80.8983,75.8236,105.473,108.827,131.907,9.92076,186.014,194.736,0.352802,0.0226842,215.323,212.02,205.141,191.153,184.96,179.885,25.9827,25.9576,157.203,156.302,18.023,115.374,26.6723,20.9439,78.8642,6.57088,23.0558,18.8725,74.705,61.7239,73.1345,23.0501,66.8561,23.6842,32.9259,37.6414,54.4974,60.038,36.3765,36.3039,5.9349,49.2465,59.5321,6.25464,0.0491653,13.8215,58.5916,58.2593,53.1373,52.1319,33.2286,33.2244,25.7804,19.185,7.86321,41.5951,11.534,12.9656,0.0163577,0.0136398,0.00577365,0.0128772,0.0101654,0.00477398,0.00247093,0.00537933,0.161457,0.0903251
13,3.31822e-05,2.30197e-05,4.76796e-05,2.94822e-05,0.508899,0.147009,0.275306,0.0409719,0.0776197,0.007859,2.81998,5.26845,12.2317,15.0338,16.009,13.9932,6.03549,4.85751,26.0617,0.518668,13.5875,0.0472568,31.1433,0.0270191,55.263,60.2208,65.2259,68.7441,40.5069,66.0102,40.8651,35.8873,35.3859,62.7465,80.6658,74.8621,104.332,107.449,129.66,10.3948,184.791,193.581,0.34333,0.0208252,190.811,189.057,182.783,171.439,166.337,164.83,26.2939,26.261,145.288,144.604,18.2859,108.215,26.6066,20.9602,75.3027,6.59321,23.0255,18.914,71.9391,60.234,70.7134,23.0951,65.2922,23.8474,33.1174,37.7625,53.1962,59.2585,35.7106,35.6423,5.92234,49.162,58.3404,6.24202,0.0457599,13.7588,58.0628,57.5142,53.2193,51.2932,32.6904,32.6863,25.4493,19.0205,7.85146,40.8607,11.4985,12.913,0.0150406,0.0123998,0.00515695,0.0115432,0.00910187,0.00428528,0.00231325,0.00470844,0.171464,0.0769986
16,3.73988e-05,2.50408e-05,5.36341e-05,3.16063e-05,0.554925,0.140043,0.28498,0.035755,0.0812256,0.00845025,2.82789,5.25366,12.2412,15.0867,16.0726,13.9286,5.99675,4.84005,26.2026,0.549851,13.4248,0.0510314,31.188,0.0241954,57.3695,62.3033,68.7223,72.0387,40.0337,69.7664,40.3725,35.2951,34.7862,66.1341,84.3879,75.4948,107.962,110.541,132.949,10.2725,181.427,188.696,0.379982,0.0228969,206.385,201.148,195.105,181.12,175.23,167.16,24.1896,24.1826,147.19,146.307,16.9367,111.077,25.9586,20.5941,78.6351,7.25524,22.9729,18.9433,74.5383,61.7062,72.8879,23.3671,66.4592,24.1942,33.4551,38.088,54.8707,59.645,37.7024,37.6194,6.63408,49.2564,59.178,6.98857,0.0518629,15.0999,57.907,57.5211,52.4163,51.7729,34.2442,34.2369,27.0326,20.5023,8.73374,41.9185,12.6293,14.1216,0.0144351,0.0123869,0.00515863,0.0133932,0.0105524,0.00452715,0.0023213,0.00527636,0.129358,0.0825341
17,4.3413e-05,2.78024e-05,6.27031e-05,3.49118e-05,0.57384,0.13446,0.333201,0.037859,0.0892261,0.00942496,3.11052,5.75211,13.2998,16.2877,17.3173,15.0676,6.43027,5.17626,27.8085,0.588463,14.3775,0.0559486,33.012,0.0267124,57.1143,62.1901,66.0006,69.8849,42.1011,66.2403,42.4411,37.0875,36.5456,61.8775,81.563,77.1801,105.166,108.459,129.795,10.8085,180.421,188.283,0.409715,0.0253536,219.401,214.364,208.526,194.57,188.56,180.001,25.3095,25.2969,158.854,157.898,17.6743,118.756,26.5792,20.9517,81.3813,7.62355,23.106,18.9525,75.5368,61.5001,73.3374,23.0511,66.0099,23.5233,32.2458,36.7296,55.3638,58.3738,38.4648,38.3739,6.88415,47.5429,58.9184,7.24399,0.0565143,15.5583,56.3993,56.4724,50.2219,51.3934,34.8354,34.8271,27.6564,21.0615,9.01896,42.1525,13.0222,14.553,0.016022,0.0135732,0.00569496,0.0146476,0.0115892,0.00474592,0.0023355,0.00613466,0.211942,0.11652
18,4.35126e-05,2.81556e-05,6.24861e-05,3.5304e-05,0.518789,0.122431,0.311509,0.0372819,0.0841499,0.00900042,2.94511,5.44046,12.4843,15.2663,16.2331,14.2412,6.13986,4.94714,26.1996,0.560039,13.7359,0.0534658,31.3257,0.0273479,53.8049,58.868,62.0404,66.0029,40.809,62.134,41.1677,36.0515,35.5335,57.7716,77.5096,74.9185,101.551,105.264,127.083,10.6196,176.555,182.593,0.389329,0.0242672,214.915,216.078,211.892,204.214,199.872,200.273,26.627,26.6117,178.865,178.058,18.5006,130.507,27.5907,21.6182,84.1337,7.41799,23.6482,19.2988,75.4037,61.3222,72.8372,23.2647,65.2149,23.5575,32.2129,36.6695,53.8571,57.7876,36.7565,36.6336,6.44958,47.3501,57.4725,6.76608,0.0536129,14.51,55.7619,55.3239,50.1836,49.4079,32.3172,32.3037,25.3873,19.2448,8.21779,39.4288,11.8191,13.2024,0.0165533,0.013909,0.00585198,0.013436,0.0100624,0.00466611,0.00232142,0.00464585,0.126321,0.0557282
