time,elapsed_seconds,message
2023-01-08 09:33:01,8.2001e-05,PEST++ performance logger started
2023-01-08 09:33:01,0.000438547,starting to process control file
2023-01-08 09:33:01,0.0288852,finished processing control file
2023-01-08 09:33:01,0.00835484,initializing
2023-01-08 09:33:01,0.00019468,using glm algorithm
2023-01-08 09:33:01,5.1973e-05,using REDSVD for truncated svd solve
2023-01-08 09:33:01,5.0967e-05,maxsing: 10000000
2023-01-08 09:33:01,5.5209e-05,eigthresh:  1e-06
2023-01-08 09:33:01,4.3487e-05,initializing localizer
2023-01-08 09:33:01,5.0186e-05,not using localization
2023-01-08 09:33:01,5.7951e-05,using lambda multipliers: 
2023-01-08 09:33:01,4.9488e-05,using lambda scaling factors: 
2023-01-08 09:33:01,5.1404e-05,acceptable phi factor:  1.05
2023-01-08 09:33:01,5.196e-05,lambda increase factor:  10
2023-01-08 09:33:01,5.125e-05,lambda decrease factor:  0.75
2023-01-08 09:33:01,4.8631e-05,max run fail:  1
2023-01-08 09:33:01,5.4513e-05,sanity_check warnings
2023-01-08 09:33:01,4.6116e-05,noptmax > 3, this is a lot of iterations for an ensemble method, please consider using fewer iterations for better outcomes
2023-01-08 09:33:01,4.3889e-05,continuing initialization...
2023-01-08 09:33:01,6.115e-05,initializing prior parameter covariance matrix
2023-01-08 09:33:01,2.8002e-05,initializing parcov
2023-01-08 09:33:01,0.000562139,parcov loaded  from parameter bounds, using par_sigma_range 6
2023-01-08 09:33:01,0.000230493,initializing observation noise covariance matrix
2023-01-08 09:33:01,0.00153953,obscov loaded  from observation weights
2023-01-08 09:33:01,0.000459036,using reg_factor:  0
2023-01-08 09:33:01,4.6389e-05,drawing parameter realizations:  1000
2023-01-08 09:33:01,0.000624673,parameters not grouped by parameter groups, reordering par ensemble
2023-01-08 09:33:01,0.000655271,making standard normal draws
2023-01-08 09:33:01,0.00843117,scaling by std
2023-01-08 09:33:01,7.6065e-05,checking realization for invalid values
2023-01-08 09:33:01,0.000579716,resizing reals matrix
2023-01-08 09:33:01,0.000353089,filling reals matrix and adding mean values
2023-01-08 09:33:01,0.000985676,not using prior parameter covariance matrix scaling
2023-01-08 09:33:01,4.3284e-05,drawing observation noise realizations:  1000
2023-01-08 09:33:01,0.000795931,making standard normal draws
2023-01-08 09:33:01,0.0155073,scaling by std
2023-01-08 09:33:01,0.000156568,checking realization for invalid values
2023-01-08 09:33:01,0.000722485,resizing reals matrix
2023-01-08 09:33:01,0.000689433,filling reals matrix and adding mean values
2023-01-08 09:33:01,0.00431238,adding 'base' parameter values to ensemble
2023-01-08 09:33:01,0.00190925,adding 'base' observation values to ensemble
2023-01-08 09:33:01,0.00430383,checking for denormal values in pe
2023-01-08 09:33:01,0.362539,saved initial parameter ensemble to  pest_run.0.par.csv
2023-01-08 09:33:01,3.6815e-05,checking for denormal values in obs + noise ensemble
2023-01-08 09:33:02,0.525092,saved obs+noise observation ensemble (obsval + noise realizations) to  pest_run.obs+noise.csv
2023-01-08 09:33:02,7.0193e-05,setting weights ensemble from control file weights
2023-01-08 09:33:02,0.00110432,checking for denormal values in weights ensemble
2023-01-08 09:33:02,0.000979532,using subset in lambda testing, number of realizations used in subset testing:  4
2023-01-08 09:33:02,3.4733e-05,subset how:  RANDOM
2023-01-08 09:33:02,0.00205122,centering on ensemble mean vector
2023-01-08 09:33:02,3.9374e-05,running initial ensemble
2023-01-08 09:33:02,2.7977e-05,running initial ensemble of size 1000
2023-01-08 09:33:02,4.7314e-05,queuing 1000 runs
2023-01-08 09:33:02,0.11923,making runs
2023-01-08 09:36:59,236.61,processing runs
2023-01-08 09:36:59,0.681355,saved initial obs ensemble to pest_run.0.obs.csv
2023-01-08 09:36:59,0.0135018,calc pre-drop phi
2023-01-08 09:36:59,0.0225586,pre-drop initial phi summary
2023-01-08 09:36:59,0.0033981,checking for prior-data conflict...
2023-01-08 09:36:59,0.0114901,dropping realizations as bad:  71
2023-01-08 09:36:59,0.000310357,dropping par:obs realizations: 4 : 4 , 5 : 5 , 9 : 9 , 11 : 11 , 42 : 42 , 43 : 43 , 53 : 53 , 62 : 62 , 80 : 80 , 89 : 89 , 91 : 91 , 141 : 141 , 163 : 163 , 167 : 167 , 169 : 169 , 171 : 171 , 208 : 208 , 244 : 244 , 266 : 266 , 270 : 270 , 300 : 300 , 348 : 348 , 397 : 397 , 403 : 403 , 430 : 430 , 433 : 433 , 437 : 437 , 444 : 444 , 451 : 451 , 469 : 469 , 470 : 470 , 492 : 492 , 501 : 501 , 527 : 527 , 536 : 536 , 581 : 581 , 589 : 589 , 611 : 611 , 638 : 638 , 640 : 640 , 644 : 644 , 647 : 647 , 661 : 661 , 672 : 672 , 702 : 702 , 711 : 711 , 721 : 721 , 727 : 727 , 742 : 742 , 755 : 755 , 785 : 785 , 789 : 789 , 793 : 793 , 799 : 799 , 803 : 803 , 806 : 806 , 833 : 833 , 847 : 847 , 857 : 857 , 867 : 867 , 880 : 880 , 886 : 886 , 890 : 890 , 909 : 909 , 916 : 916 , 925 : 925 , 927 : 927 , 934 : 934 , 938 : 938 , 941 : 941 , 955 : 955 , 
2023-01-08 09:36:59,0.00434278,calc initial phi
2023-01-08 09:36:59,0.0179756,initial phi summary
2023-01-08 09:36:59,0.0125334,current lambda: 100
2023-01-08 09:36:59,4.2514e-05,initialization complete
2023-01-08 09:36:59,0.00029355,starting solve for iteration: 1
