real_name,mass_east:228716.0000_north:1351748.00,mass_east:230961.0000_north:1604587.00,mass_east:282095.0000_north:1328043.00,mass_east:284901.0000_north:1632653.00,mass_east:671948.0000_north:1468335.00,mass_east:672867.0000_north:1486992.00,mass_east:673346.0000_north:1454749.00,mass_east:678652.0000_north:1507746.00,mass_east:680222.0000_north:1444151.00,mass_east:682167.0000_north:1406593.00,mass_east:687065.4788_north:1463263.947,mass_east:688128.2578_north:1465335.321,mass_east:688645.4866_north:1467976.518,mass_east:688893.3636_north:1468603.156,mass_east:689018.9478_north:1468771.178,mass_east:689566.2899_north:1468142.227,mass_east:689990.5854_north:1465709.388,mass_east:689998.3193_north:1465052.028,mass_east:690192.1061_north:1469885.689,mass_east:690700.0000_north:1455649.00,mass_east:690721.4336_north:1467926.473,mass_east:690829.0000_north:1436753.00,mass_east:690862.0289_north:1470112.851,mass_east:691035.0000_north:1518113.00,mass_east:691536.9571_north:1472268.609,mass_east:691761.1951_north:1472254.183,mass_east:692160.2298_north:1473177.647,mass_east:692193.98_north:1472953.2,mass_east:692320.9146_north:1470354.661,mass_east:692341.83_north:1473492.4,mass_east:692364.7132_north:1470367.143,mass_east:692531.9473_north:1470074.692,mass_east:692553.9683_north:1470044.157,mass_east:692556.9148_north:1474042.065,mass_east:692614.89_north:1473096.06,mass_east:692625.6287_north:1471812.114,mass_east:693237.55_north:1473027.71,mass_east:693307.83_north:1472882.83,mass_east:693883.83_north:1473125.85,mass_east:694377.36_north:1467140.62,mass_east:695371.19_north:1473577.85,mass_east:695655.19_north:1473710.47,mass_east:696191.0000_north:1452089.00,mass_east:697158.0000_north:1424023.00,mass_east:697897.37_north:1474135.59,mass_east:697934.47_north:1474070.69,mass_east:697994.98_north:1474063.94,mass_east:698119.03_north:1473992.05,mass_east:698174.92_north:1473965.36,mass_east:698193.14_north:1473787.02,mass_east:698366.88_north:1479093,mass_east:698388.54_north:1479093.16,mass_east:698414.01_north:1473663.84,mass_east:698421.15_north:1473650.61,mass_east:698637.1944_north:1479927.937,mass_east:699066.57_north:1473349.55,mass_east:699749.19_north:1478820.01,mass_east:700125.6119_north:1479352.578,mass_east:700383.6161_north:1472828.366,mass_east:700534.2473_north:1465200.142,mass_east:700608.11_north:1479002.79,mass_east:700951.9146_north:1479457.732,mass_east:701230.3042_north:1473607.164,mass_east:701236.78_north:1475734.54,mass_east:701403.2659_north:1474089.033,mass_east:701447.5679_north:1478796.18,mass_east:701979.8903_north:1474231.631,mass_east:702055.6754_north:1478553.709,mass_east:702329.8068_north:1477485.218,mass_east:702331.1537_north:1477050.524,mass_east:702349.4475_north:1472091.164,mass_east:702379.37_north:1474878.73,mass_east:702482.643_north:1470462.43,mass_east:702518.8983_north:1470461.695,mass_east:702524.6997_north:1464702.711,mass_east:702558.411_north:1475908.563,mass_east:702689.9009_north:1472997.564,mass_east:702691.3487_north:1464877.287,mass_east:702823.0000_north:1433739.00,mass_east:702854.5674_north:1467466.96,mass_east:702936.0558_north:1474386.983,mass_east:703169.6307_north:1473542.173,mass_east:703507.349_north:1474766.077,mass_east:703540.6353_north:1472478.642,mass_east:703626.6524_north:1470324.906,mass_east:703634.9476_north:1470325.699,mass_east:703737.2128_north:1469459.118,mass_east:703741.109_north:1468505.821,mass_east:703894.7541_north:1465612.15,mass_east:703963.5297_north:1471311.749,mass_east:703986.7135_north:1466887.458,mass_east:703990.7543_north:1467265.652,mass_east:707362.0000_north:1529879.00,mass_east:718127.0000_north:1533707.00,mass_east:721921.0000_north:1555453.00,mass_east:725423.0000_north:1408581.00,mass_east:750535.0000_north:1400531.00,mass_east:761845.0000_north:1557976.00,mass_east:819866.0000_north:1573265.00,mass_east:822988.0000_north:1379186.00,mass_east:866800_north:1475343,mass_east:869966.27_north:1447717.22
0,0.0483428,0,0.0402965,0.104586,0,0.0294349,0,0,0.0317391,0,4.61191,7.48941,15.363,23.2519,19.4449,19.7673,7.87843,11.7167,30.296,0.0272756,14.1793,0.0290536,38.0197,0.152824,50.9807,65.4242,60.4478,73.7141,35.5063,96.2411,36.4882,27.8634,28.926,55.2719,207.8,56.2276,93.4901,90.7808,114.502,136.507,188.401,174.478,0.0120421,0,270.09,174.285,192.978,125.424,182.607,288.701,48.4214,42.7962,160.356,113.105,16.7316,122.097,23.614,23.6761,73.4335,7.81877,15.6465,22.313,92.9202,88.1844,94.6422,31.3216,95.4858,38.8179,47.4375,29.7664,60.3681,44.2982,33.4796,32.4818,4.46752,58.2927,53.2451,10.456,0,17.6569,53.3414,43.6423,46.333,44.7594,37.5376,36.411,25.2732,30.6282,21.0354,35.1817,15.819,19.6478,0,0,0,0,0.160616,0.0589884,0.140924,0,0.0365814,0.109927
1,0,0,0,0,0.0565564,0.0694635,0.0837552,0.0340236,0,0,4.48284,8.04099,14.7881,22.5753,19.4289,21.9388,7.63358,12.3015,30.0975,0.0302274,13.4219,0,39.1451,0,56.4672,61.7776,57.5237,77.6428,38.9119,98.175,36.2681,28.9685,26.0867,57.113,195.147,60.1683,90.1425,87.8564,115.204,147.821,186.5,177.518,0,0,279.084,175.287,192.872,115.768,174.937,298.315,43.9546,44.4551,155.182,133.607,17.6065,113.953,23.8749,19.2545,71.804,7.90374,14.9517,23.3498,89.8978,90.1977,92.2244,30.4229,94.576,41.1926,46.1423,31.5379,58.6476,43.4734,33.7983,31.898,4.31265,60.3888,53.1615,10.9806,0,17.1559,49.7439,43.5172,48.2337,43.0086,38.8886,38.0884,25.3809,31.6194,22.3669,39.9919,14.4996,18.0013,0.141028,0.115622,0.102109,0,0.0770979,0,0,0.0592045,0,0.0290728
2,0.0518605,0.0705982,0,0.0492463,0,0,0,0.0239078,0.0884969,0.104591,4.36626,7.51116,15.2557,24.3796,18.862,20.5014,7.73325,12.6033,28.0464,0,14.7323,0,35.79,0,54.9137,55.4655,62.4792,70.7779,39.8428,102.49,37.8148,27.8408,29.5336,60.6769,182.864,67.6874,92.2718,94.0467,115.192,149.986,180.3,180.799,0,0,264.772,184.542,205.663,128.078,186.477,299.711,40.9196,48.2255,156.335,124.753,17.7381,110.512,20.9081,22.9478,80.7911,7.57553,16.2294,22.0484,92.1346,71.7041,94.7404,27.3393,83.0687,39.1042,44.4458,28.3111,58.56,45.2917,32.4533,35.2988,4.51151,56.105,53.5061,11.0081,0.203884,15.487,49.3932,46.128,43.0572,43.9321,39.4584,35.0676,25.8107,28.5944,23.8383,39.8688,14.9586,17.2666,0,0.183083,0.0425554,0.0555209,0.122967,0,0.276626,0.0944884,0.0568506,0.0707044
3,0.0789169,0.109034,0.0339253,0.069438,0,0,0.237106,0,0.152525,0.0100719,4.29704,7.85309,15.2463,23.0554,20.085,19.5086,7.45603,11.9159,30.1027,0,14.8917,0.107905,38.5471,0,54.8716,59.3033,58.1522,81.5698,36.1684,102.26,35.5005,25.3521,28.5301,56.6414,218.946,58.832,85.244,94.1793,124.005,153.824,193.514,178.135,0.0795331,0.0773657,285.32,175.432,199.071,121.669,167.969,321.514,47.0334,47.0133,150.076,136.492,16.3766,111.88,19.058,23.9651,74.3634,7.38735,14.957,23.6756,87.6824,76.9584,94.8604,30.3816,94.2469,38.95,44.936,29.595,60.775,46.2952,32.8002,33.4994,4.31789,60.7689,50.1811,10.8032,0,17.359,54.708,46.1686,43.7121,44.293,37.5509,37.0704,24.3444,30.9733,23.5582,36.6514,14.5244,19.0304,0,0.123961,0,0,0.0329582,0,0.0267363,0,0.0838536,0.0104732
4,0.120553,0,0.0298646,0.156701,0,0,0,0,0.168021,0.0453217,4.62518,7.07143,15.7357,22.7124,20.3052,17.7261,7.55724,12.3228,29.4197,0.0799205,15.0104,0,37.8131,0,54.1669,58.1666,66.7453,74.2337,37.0249,106.225,33.7744,27.2485,25.976,59.9557,188.842,61.5971,80.8409,97.881,122.082,139.525,163.031,186.338,0.0923183,0.0446658,285.907,186.991,195.534,124.604,175.662,303.94,44.1334,46.7448,148.358,131.493,16.4313,103.105,20.8671,22.1701,76.5582,7.78231,14.6493,23.2058,88.4238,90.997,105.912,28.7355,99.391,41.2812,43.3698,31.6123,61.5046,47.8423,33.9727,31.4169,4.41498,58.5231,51.836,11.1754,0.00425358,18.2292,52.1202,45.7773,46.1715,44.2293,38.3304,33.9807,25.487,30.6319,20.6858,36.7665,15.3727,18.0708,0,0,0.081371,0.045906,0,0.125115,0.0659815,0.0169045,0.00527557,0
5,0,0.00587487,0,0.0590724,0,0,0.110571,0.055951,0.207261,0,4.33292,7.49319,13.8918,22.0636,21.2159,18.8335,7.38565,11.9016,30.7186,0.0732501,15.92,0.104509,39.8537,0.0568945,54.7463,60.0964,65.0208,78.6062,36.9864,99.7404,36.6575,28.2744,26.7043,63.204,206.67,60.3182,87.0478,92.0428,118.5,145.586,177.726,166.976,0.0175459,0,288.62,177.516,195.236,121.424,174.168,309.998,43.1528,44.1123,155.678,131.912,16.6792,107.756,23.5653,22.6589,72.3368,7.08492,14.6188,23.3778,85.2816,80.2067,102.662,32.5475,94.725,36.9529,41.02,31.6387,61.2902,45.2425,32.6309,34.9341,4.62219,60.4911,52.8412,10.4755,0.0538298,18.4476,55.4079,42.8441,41.482,44.1466,37.4342,37.5723,25.4533,31.8405,23.0247,39.2342,15.9532,18.5666,0.174502,0,0.0662717,0,0,0,0,0.0595444,0.0530664,0
6,0.27604,0.110398,0,0,0.086812,0.107581,0.255059,0.0454086,0,0,4.32018,7.3002,14.3314,25.2281,19.7021,17.9557,7.91235,11.9368,31.8431,0.0488324,14.3619,0.171964,35.931,0,53.1083,64.1211,61.8978,71.5688,35.6265,98.3284,37.5576,26.0441,27.7093,64.1646,205.309,59.7882,87.9722,89.6698,128.552,150.836,190.283,164.134,0.0159709,0.0448446,239.878,165.551,185.789,117.823,178.793,319.255,47.7869,40.2766,160.079,122.283,17.1525,119.787,22.2888,20.6332,72.7503,8.01346,13.5243,20.7997,89.0383,83.4032,103.416,27.992,95.8338,39.7134,43.448,29.8208,54.466,48.5833,36.9264,33.7969,4.36967,56.2276,56.36,10.9428,0,19.5568,56.0074,46.0525,48.3472,45.4064,38.5184,35.7515,24.7661,30.0955,21.1287,37.4574,15.8825,16.7188,0,0,0,0,0,0,0,0.000122451,0,0.223998
7,0.0609067,0,0.109253,0.0626191,0,0.00876383,0,0,0.0261878,0,4.70335,7.13714,14.44,23.49,19.8506,19.6893,6.8623,13.0091,30.2351,0,15.1324,0,38.8797,0.0537095,54.4065,62.6759,61.2762,78.6883,38.6928,89.0659,38.3426,27.3776,27.8177,54.8974,186.66,54.9097,90.7067,90.4558,121.741,144.889,187.732,178.546,0.0102668,0.0278187,260.951,160.374,178.286,122.121,172.655,281.853,43.9831,47.9647,154.444,130.815,15.7306,113.762,20.6797,23.3201,72.5927,7.13924,15.5976,21.8288,87.1359,86.6611,99.9322,30.9801,103.09,38.9455,47.9644,29.1117,64.7095,46.0196,36.9019,36.83,4.72722,58.7075,51.6791,10.4146,0,17.7873,50.1016,41.8996,45.2715,43.6002,37.6161,38.6276,25.3442,32.1882,23.2038,34.2065,15.1657,18.9377,0,0,0,0.0419976,0,0.0108889,0.0930198,0.00303955,0,0.209491
8,0,0.010473,0,0.100279,0,0,0.0117164,0,0,0,4.63995,7.37167,13.226,22.6498,18.3194,19.7416,7.21412,11.6755,31.1935,0,14.6271,0,36.0527,0.0358259,52.4036,58.6923,59.3504,73.7484,35.3669,88.2879,38.1853,27.9625,28.567,54.5575,193.311,61.8506,101.7,87.6576,115.292,153.238,175.994,179.226,0,0,263.089,178.943,185.923,128.386,177.252,297.011,46.9277,44.1893,148.92,128.596,15.8355,110.234,24.1085,22.1701,71.9893,7.02577,14.5792,22.1153,92.0407,84.3439,97.0476,28.6344,91.3623,37.5788,48.4838,32.3529,61.4531,42.2224,32.0244,31.0835,4.64627,61.1941,50.9236,10.1699,0.0776369,19.2473,53.4911,46.4505,48.0324,42.1875,36.2995,39.3145,25.0064,30.4279,22.8169,37.5905,15.6001,18.6558,0.0207636,0,0,0,0.0702542,1.75519e-05,0.0336006,0.0202892,0.0558196,0
9,0.0309539,0.0688133,0,0,0,0,0,0.0317491,0,0.0691185,4.00863,7.74163,15.9458,21.8634,19.5168,19.3902,7.62916,12.3453,30.9419,0,14.4614,0.185476,38.6094,0.052589,52.2144,58.1839,58.864,74.7619,38.4399,91.7934,37.8958,29.3027,27.1991,65.2024,183.539,63.6487,83.8859,92.4108,122.397,148.602,176.698,192.826,0,0,260.335,187.004,191.584,121.786,180.388,294.442,41.0906,45.2407,153.437,129.423,15.9604,110.166,24.1272,23.9711,69.1319,7.40138,13.5036,22.2268,96.8455,81.9862,109.507,29.8295,101.001,37.6957,42.0462,29.3905,64.0347,47.7263,34.9118,34.9598,4.65168,58.1789,53.5943,10.3728,0.0913843,18.2032,54.2525,47.42,44.8487,48.0579,38.4471,38.887,25.4407,28.8059,23.5531,38.5072,14.3446,18.3918,0,0.0665936,0.0221217,0,0,0.0625893,0,0.0578144,0,0.0836835
