obsnme,obsval,weight,obgnme,east,north,standard_deviation,lower_bound
mass_east:228716.0000_north:1351748.00,0.0,10.0,obgnme,228716.0000,1351748.00,0.1,0.0
mass_east:230961.0000_north:1604587.00,0.0,10.0,obgnme,230961.0000,1604587.00,0.1,0.0
mass_east:282095.0000_north:1328043.00,0.0,10.0,obgnme,282095.0000,1328043.00,0.1,0.0
mass_east:284901.0000_north:1632653.00,0.0,10.0,obgnme,284901.0000,1632653.00,0.1,0.0
mass_east:671948.0000_north:1468335.00,0.0,10.0,obgnme,671948.0000,1468335.00,0.1,0.0
mass_east:672867.0000_north:1486992.00,0.0,10.0,obgnme,672867.0000,1486992.00,0.1,0.0
mass_east:673346.0000_north:1454749.00,0.0,10.0,obgnme,673346.0000,1454749.00,0.1,0.0
mass_east:678652.0000_north:1507746.00,0.0,10.0,obgnme,678652.0000,1507746.00,0.1,0.0
mass_east:680222.0000_north:1444151.00,0.0,10.0,obgnme,680222.0000,1444151.00,0.1,0.0
mass_east:682167.0000_north:1406593.00,0.0,10.0,obgnme,682167.0000,1406593.00,0.1,0.0
mass_east:687065.4788_north:1463263.947,4.5,2.2222222222222223,obgnme,687065.4788,1463263.947,0.225,0.0
mass_east:688128.2578_north:1465335.321,7.5,1.3333333333333333,obgnme,688128.2578,1465335.321,0.375,0.0
mass_east:688645.4866_north:1467976.518,15.0,0.6666666666666666,obgnme,688645.4866,1467976.518,0.75,0.0
mass_east:688893.3636_north:1468603.156,22.5,0.4444444444444444,obgnme,688893.3636,1468603.156,1.125,0.0
mass_east:689018.9478_north:1468771.178,19.5,0.5128205128205128,obgnme,689018.9478,1468771.178,0.975,0.0
mass_east:689566.2899_north:1468142.227,19.5,0.5128205128205128,obgnme,689566.2899,1468142.227,0.975,0.0
mass_east:689990.5854_north:1465709.388,7.5,1.3333333333333333,obgnme,689990.5854,1465709.388,0.375,0.0
mass_east:689998.3193_north:1465052.028,12.0,0.8333333333333333,obgnme,689998.3193,1465052.028,0.6000000000000001,0.0
mass_east:690192.1061_north:1469885.689,30.0,0.3333333333333333,obgnme,690192.1061,1469885.689,1.5,0.0
mass_east:690700.0000_north:1455649.00,0.0,10.0,obgnme,690700.0000,1455649.00,0.1,0.0
mass_east:690721.4336_north:1467926.473,15.0,0.6666666666666666,obgnme,690721.4336,1467926.473,0.75,0.0
mass_east:690829.0000_north:1436753.00,0.0,10.0,obgnme,690829.0000,1436753.00,0.1,0.0
mass_east:690862.0289_north:1470112.851,37.5,0.2666666666666666,obgnme,690862.0289,1470112.851,1.875,0.0
mass_east:691035.0000_north:1518113.00,0.0,10.0,obgnme,691035.0000,1518113.00,0.1,0.0
mass_east:691536.9571_north:1472268.609,52.5,0.1904761904761904,obgnme,691536.9571,1472268.609,2.625,0.0
mass_east:691761.1951_north:1472254.183,60.0,0.1666666666666666,obgnme,691761.1951,1472254.183,3.0,0.0
mass_east:692160.2298_north:1473177.647,60.0,0.1666666666666666,obgnme,692160.2298,1473177.647,3.0,0.0
mass_east:692193.98_north:1472953.2,75.0,0.1333333333333333,obgnme,692193.98,1472953.2,3.75,0.0
mass_east:692320.9146_north:1470354.661,37.5,0.2666666666666666,obgnme,692320.9146,1470354.661,1.875,0.0
mass_east:692341.83_north:1473492.4,97.5,0.1025641025641025,obgnme,692341.83,1473492.4,4.875,0.0
mass_east:692364.7132_north:1470367.143,37.5,0.2666666666666666,obgnme,692364.7132,1470367.143,1.875,0.0
mass_east:692531.9473_north:1470074.692,27.0,0.3703703703703703,obgnme,692531.9473,1470074.692,1.35,0.0
mass_east:692553.9683_north:1470044.157,27.0,0.3703703703703703,obgnme,692553.9683,1470044.157,1.35,0.0
mass_east:692556.9148_north:1474042.065,60.0,0.1666666666666666,obgnme,692556.9148,1474042.065,3.0,0.0
mass_east:692614.89_north:1473096.06,195.0,0.1,obgnme,692614.89,1473096.06,9.75,0.0
mass_east:692625.6287_north:1471812.114,60.0,0.1666666666666666,obgnme,692625.6287,1471812.114,3.0,0.0
