easting,northing,elevation,mass load,,,,
689990.5854,1465709.388,0,7.5,,,,
688645.4866,1467976.518,0,15,,,,
691761.1951,1472254.183,0,60,,,,
692160.2298,1473177.647,0,60,,,,
690862.0289,1470112.851,0,37.5,,,,
690192.1061,1469885.689,0,30,,,,
703986.7135,1466887.458,0,15,,,,
703741.109,1468505.821,0,30,,,,
703963.5297,1471311.749,0,37.5,,,,
700383.6161,1472828.366,0,75,,,,
702331.1537,1477050.524,0,30,,,,
703540.6353,1472478.642,0,45,,,,
703169.6307,1473542.173,0,45,,,,
703507.349,1474766.077,0,45,,,,
702558.411,1475908.563,0,60,,,,
702329.8068,1477485.218,0,45,,,,
702055.6754,1478553.709,0,37.5,,,,
701447.5679,1478796.18,0,30,,,,
700951.9146,1479457.732,0,22.5,,,,
688128.2578,1465335.321,0,7.5,,,,
690721.4336,1467926.473,0,15,,,,
689018.9478,1468771.178,0,19.5,,,,
702524.6997,1464702.711,0,4.5,,,,
702691.3487,1464877.287,0,10.5,,,,
700534.2473,1465200.142,0,7.5,,,,
703894.7541,1465612.15,0,22.5,,,,
703990.7543,1467265.652,0,18,,,,
702854.5674,1467466.96,0,18,,,,
703737.2128,1469459.118,0,25.5,,,,
702349.4475,1472091.164,0,60,,,,
687065.4788,1463263.947,0,4.5,,,,
688893.3636,1468603.156,0,22.5,,,,
689566.2899,1468142.227,0,19.5,,,,
702689.9009,1472997.564,0,52.5,,,,
689998.3193,1465052.028,0,12,,,,
692364.7132,1470367.143,0,37.5,,,,
692553.9683,1470044.157,0,27,,,,
701403.2659,1474089.033,0,97.5,,,,
702936.0558,1474386.983,0,52.5,,,,
703626.6524,1470324.906,0,37.5,,,,
702482.643,1470462.43,0,34.5,,,,
691536.9571,1472268.609,0,52.5,,,,
692320.9146,1470354.661,0,37.5,,,,
692531.9473,1470074.692,0,27,,,,
701979.8903,1474231.631,0,97.5,,,,
703634.9476,1470325.699,0,37.5,,,,
702518.8983,1470461.695,0,34.5,,,,
692556.9148,1474042.065,0,60,,,,
692625.6287,1471812.114,0,60,,,,
701230.3042,1473607.164,0,90,,,,
698637.1944,1479927.937,0,16.5,,,,
700125.6119,1479352.578,0,22.5,,,,
698388.54,1479093.16,0,45,,,,
698366.88,1479093,0,45,,,,
699749.19,1478820.01,0,22.5,,,,
700608.11,1479002.79,0,15,,,,
702379.37,1474878.73,0,45,,,,
698193.14,1473787.02,0,300,,,,
697897.37,1474135.59,0,270,,,,
697934.47,1474070.69,0,180,,,,
698119.03,1473992.05,0,120,,,,
698421.15,1473650.61,0,127.5,,,,
699066.57,1473349.55,0,112.5,,,,
698414.01,1473663.84,0,150,,,,
698174.92,1473965.36,0,180,,,,
697994.98,1474063.94,0,195,,,,
693307.83,1472882.83,0,90,,,,
692193.98,1472953.2,0,75,,,,
701236.78,1475734.54,0,82.5,,,,
693237.55,1473027.71,0,9,,,,
693883.83,1473125.85,0,12,,,,
694377.36,1467140.62,0,15,,,,
695371.19,1473577.85,0,18,,,,
695655.19,1473710.47,0,18,,,,
692341.83,1473492.4,0,9.75,,,,
692614.89,1473096.06,0,19.5,,,,
